"fxt-village-human-name","قرية البشر"
"evt-village-pillage-action","النهب والسلب"
"evt-village-huntSlaves-action","إصطد البشر"
"evt-village-evict-action","قم بتخويف السكان وابعادهم"
"evt-village-human-abandoned-action","[بعد الكثير من التخويف والتهديدات والمواقف ، قام السكان المحليون بالهرب بعيدا وأخذو معهم ممتلكاتهم القليلة | لقد أعطينا البشر إنذارًا نهائيًا للانسحاب ، وقد قبلوه بسرور. خوفًا من تهديداتنا ، جمع البشر حاجيتاهم القليلة وقامو بالهرب]. لقد تم التخلي عن الأكواخ الآن."
"evt-village-human-abandoned-morning","[حل صمت غريب على الأكواخ هذا الصباح. لم يتم رؤية أي روح | لم نبصر او نسمع أي شيء هذا الصباح] ،لقد كنا وحيدين."
"it-slaves-name","أسير بشري"
"it-slaves","إنسان بائس، تم امساكه وأسره من أجل مجد إمبراطورية القردة."
"pl-slaveCart-title","أقفاص."
"pl-slaveCart","تسمح الأقفاص ، عند تركيبها على عربة نقل ، بتكديس البشر بكفاءة أكبر مع كل ترقية. حقا انجاز مذهل من إبداع القردة!"
"st-slave-stacking-description-1","أعجوبة من تكنولوجيا القردة. تتيح لك نقل إنسان واحد في كل قفص."
"st-slave-stacking-description-2","أعجوبة من تكنولوجيا القردة. تتيح لك نقل إثنين من البشر في كل قفص."
"st-slave-stacking-description-3","أعجوبة من تكنولوجيا القردة. تتيح لك نقل ثلاثة من البشر في كل قفص."
"st-slave-stacking-description-4","أعجوبة من تكنولوجيا القردة. تتيح لك نقل أربعة من البشر في كل قفص."
"st-slave-stacking-1-title","كفاءة القردة 1"
"st-slave-stacking-2-title","كفاءة القردة 2"
"st-slave-stacking-3-title","كفاءة القردة 3"
"st-slave-stacking-4-title","كفاءة القردة 4"
"evt-human-fight","[بتعرف، البشر على نواياك ، قامو بالإستعداد للدفاع عن أنفسهم | متمسكين بالخوف من احتمال الاستعباد ، قام البشر بحمل الأسلحة التي كانت لديهم واحتشدو امامنا | رفض رجال ونساء القبيلة أن يؤخذوا بسلام]. كان القتال محتم ولا مفر منه."
"evt-human-fight-action","خذهم أحياء!"
"evt-human-fight-flee-action","انسحاب تكتيكي!"
"evt-human-fight-flee","قررنا أن هذه العينات على وجه الخصوص لم تكن تستحق العناء ، لذلك ذهبنا للبحث عن المراعي الخضراء. وهذا قد شجع البشر ، وأرسلو حفلة صيد خلفنا."
"evt-combat-loot-human-fight","[بحثنا في المنطقة وأخذنا أي شيء ذي قيمة معنا: كوننا المنتصرين ، فإن الغنائم تعود إلينا]."
"pl-warlord-title","قائد حروب القردة"
"sp-ee-warlord","فاقد لشرفه، سيقاتل الجنرال بروتوس بلا رحمة لاستعادة وضعه في أعين إمبراطور القردة."
"st-warlord-title","حضور مهيمن"
"pl-athena-title","الحكيم العظيم"
"sp-ee-athena","حكيمة ذات ذكاء لا نظير له. أثينا متخصصة في الحفاظ على أسلحة العصور المنسية."
"sp-ee-marcellus","ربما القرد الأكثر ثراء والأفضل تجهيزا ، إلى جانب إمبراطور القردة نفسه."
"pl-marcellus-title","الأمير التاجر"
"st-sage-title","المعرفة القديمة."
"st-sage","مهارة الحفاظ على الأسلحة القديمة."
"st-merchant-title","الأمير التاجر"
"st-merchant","يمكن تحمل إضافة عضوا إضافيًا واحد في الرحلة."
"pl-bloodrider-title","ممتطي الدماء"
"pl-bloodrider","راكبو الدماء هم خبراء الصيد البشري والكشافة. الأكثر موهبة بينهم لديهم فرصة ضئيلة للانضمام إلى الحرس الشخصي لإمبراطور القردة."
"discoverVillage-1-title","الفرسان الكشافة 1"
"discoverVillage-2-title","الفرسان الكشافة 2"
"discoverVillage-3-title","الفرسان الكشافة 3"
"discoverVillage-4-title","الفرسان الكشافة 4"
"discoverVillage-1","الكشف عن المواقع القريبة للقردة."
"pl-neophyte-title","المبتدىء"
"pk-research-1-title","باحث مبتدئ"
"pk-research-1","زيادة جودة وقيمة الدراسات التي تم إنشاؤها."
"pk-research-2-title","باحث متقدم"
"pk-research-3-title","باحث محترف"
"pk-research-4-title","باحث محترف"
"pl-marauder-title","ناهب"
"pl-marauder","The Marauder revels in battle, inspiring his fellow Apes through feats of strength."
"anm-warmount-title","Warmount"
"anm-warmount","أقسى وأحقر الحيوانات ، ولدت ودُربت لغرض واحد: الحرب."
"ruins-name","أطلال"
"evt-ruins-2-action","فحص الأطلال"
"evt-ruins-3","خراب قديم ارتفع فوقنا. [كان في حالة رهيبة، على ما يبدو كان الطقس يدمره بشكل فعال على مر العصور | لقد بدى قديم مثل الوقت نفسه | الوقت كان له أثره على البناء | الوقت دمر ما كان ذات مرة مشهد مهيب]. [يجب على المرء أن يتسلق الجدار للوصول إلى المدخل | ما تبقى من الدرج _ الذي أدى إلى المدخل الوحيد | يمكنني صنع مدخل على منصة عالية. سيكون علينا تسلق الجدران الخارجية للوصول إليها]."
"evt-ruins-2","[ هيكل كبير يلوح في الأفق | أطلال قديمة نسيها القردة والإنسان على حد سواء منذ زمن ، وقفت مُنارة أمامنا | البنية أمامنا تبرر الخوف والاحترام | وصلنا إلى خراب منسي منذ زمن طويل | وصلنا إلى خراب مهيب ، على ما يبدو هيكل مهجور من العصور الماضية]. [ جدرانه المعدنية كانت مغطاة بطبقة من الصدأ | كل أنواع الحياة النباتية نمت باتجاه الشمس | كانت شهادة جريئة لقوة صناعه]. [كروم معلقة منخفضة أخفت جزئيا المدخل الذي يؤدي إلى الداخل | الدرج الكبير يؤدي إلى مدخل هائل | البوابة التي تقود إلى الداخل بثت قشعريرة غريبة ومخيفة]."
"evt-ruins-actions-action","أدخل إلى الأطلال"
"evt-ruins-enter","[وصلنا إلى ما بدا وكأنه قبو صغير تحت الأرض] أمامنا مكان يبدو وكأنه قبو منسي | دخلنا بعناية مساحة محفوظة جيدًا مخصصة للتخزين]. [ إذا حافظ هذا المكان على قطعة أثرية قديمة ، اعرف أننا سنجدها هنا. نظرنا بهدوء حول الغرفة المغطاة بالصدأ]. كان هناك صدى لخطواتنا عندما دخلنا القبو."
"evt-ruins-enter-action","البحث في القبو"
"evt-ruins-hint-ice","كان المعدن بارداً عند اللمس. [كم هو مثير للإهتمام | يجب أن يكون هناك بعض التفسير العلمي لهذه الظاهرة | تساءلت ما إذا كان قد أصبح مقاوم للدفء أو إذا كان هناك تفسير آخر]."
"evt-steal-animals-1","تم عرض مجموعة من الحيوانات المناسبة أمامنا. أي واحد يجب أن نختار للتبادل؟"
"evt-outpost-enter","[أنا | نحن |الرحلة |رحلتنا|مجموعتنا] [توقفنا| وصلنا | دخلنا] المستوطنة. كان في استقبالنا احد العبيد وشامان محكمة. [ المكان كان قذر وفوضوي] إنه مكان لليأس والحزن | هذا المكان يستعر فيه الجانب المظلم من الطبيعة البشرية | كان معسكرًا آمنًا جيدًا ولكن متحركًا | المخيم مليء بالقمامة | رائحة النفايات البشرية تجعل عينيّان يذرفان الدموع] [أقفاص العبودية منتشرة في كل مكان | أقفاص مليئة بالعبيد كانت تنتشر في جميع أنحاء المنطقة | تتألف من مجموعة من الأقفاص المملوءة بالسجناء المرعوبين | تم ملء العديد من الأقفاص الكبيرة بجميع أنواع الأشخاص المختلفين]."
"it-policebaton-name","هراوة الشرطة"
"it-policebaton","عصا قوية جدا ، جيدة حقا في ضرب البشر"
"it-grenade-name","قنبلة يدوية"
"it-grenade","صندوق معدني على شكل ليمون ينفجر اذا تم رميه على البشر."
"it-banana-name","الموز"
"it-banana","الطعام المجيد للآلهة ، في بعض الأحيان يحسن بشكل كبير النشاط البدني للقردة. لا يصلح للاستهلاك من قبل البشر."
"zn-roamingNatives-name","Human Foragers"
"it-philosophersstone-name","حجر الفلاسفة"
"it-philosophersstone","أثمن شيء تملكه أثينا. قطعة أثرية قديمة للإستبصار."
"anm-warhog-title","خنزير الحرب"
"anm-warhog","خنازير حرب القردة سيئة السمعة مثل وحوش الصيد الشرسة. يقول البعض إنهم يستطيعون شم رائحة إنسان على بعد ميل."
"pl-beastMaster-title","سيد الوحش"
"pl-beastMaster","يمكن لسادة الوحوش ""إجبار"" أي حيوان لتجاوز قيوده البدنية. ولن يجرؤوا أبداً على شن حملة بدون خنازير الحرب الموثوقة التي يربونها منذ الولادة."
"evt-harbor-recruit-beastMasterWarhog-action","سيد الوحش وخنزير الحرب"
"evt-harbor-recruit-beastMasterWarhog-1","يمكننا استخدام مساعدة [سيد الوحش وخنزير الحرب | من ذوي الخبرة في التعامل مع الحيوانات والوحش المخلص | وحش التامر والخنزير المخلص | الثنائي الديناميكي | الاقتران الفعال] لقد رحبنا بهم في فريقنا."
"evt-steal-animals-action","شراء حيوان شحن"
"evt-steal-animals","طلبنا من المستوطنة تزويدنا بحيوان مناسب للشحن."
"evt-village-steal-animal","[طالبنا بحيوان تكريماً لإمبراطور القردة العظيم| أجبرنا تاجر العبيد على إعطائنا إحدى حيواناته| تاجر العبيد كان معجباً بما يكفي ليقدم لنا حيواناً| لقد تبين أن الحيوان الذي قدم لنا كان الشيء الوحيد الذي لديه قيمة لدى تاجر العبيد| ابتلع تاجر العبيد كبريائه واستسلم لمطالبنا.| كان تاجر العبيد يكرهنا بوضوح لأخذ واحد من حيواناته]. نحن [دعيناه| اسميناه|لقبناه |قررنا تسميته] الوحش $name."
"it-whisky-ape-name","الموز المسكر"
"it-whisky-ape","مقطر وفقا لقانون نقاء القرد ، إن هذا الشيء شديد الإثارة فعلا. لا يصلح للاستهلاك من قبل البشر."
"fxt-outpost-name","مركز القردة"
"evt-outpost-init-action","أدخل مركز تجارة القردة"
"evt-village-human-main-0","ارتعب القرويون بوجودنا. أخفى الآباء أولادهم ، وكان شيخ القرية يرتجف."
"evt-village-human-main-1","نظر البشر إلينا في رهبة. كانوا يعرفون أن شخصية ذو قوة عظمى تقف أمامهم."
"evt-village-human-main-2","اقترب منا البشر بحذر."
"evt-village-human-main-3","لا يبدو أن البشر يخافوننا كثيرا. وكانت تصرفاتهم تقريبا... تدل على حقد تجاهنا."
"evt-village-human-main-4","البشر كانوا عدائيين. البعض منهم كانوا في الواقع جسورين كفاية لحمل السلاح في وجودنا."
"evt-expedition-done-WoA-1","بعد [أسابيع من من الغارات| هذا المسعى | كل هذا العمل]، [النشوة| فرحة عظيمة | فخر كبير | راحة هائلة]. كنت أعرف أن [هذا|ذلك|أن] إسمي $name [سيُنقش في الذاكرة إلى الأبد| لن يُنسى أبداً | سيكون مرادفاً للنصر | سيكتب عنه بعد فترة طويلة من مغادرتي لهذه الحياة | سوف يحظى بالاحترام في البلاط الإمبراطوري | سيتم تسجيله في سجلات تاريخ القردة]."
"evt-goal-explore-WoA-finish","[المدينة الذهبية المهيبة ارتفعت فوق بيئتها|المدينة الذهبية تلوح في الأفق فوق الجميع|وصلنا أخيراً إلى المدينة الذهبية|المشهد الغريب أضاف سحر للمدينة الذهبية الاستثنائية|أعجوبة عمارة القردة، كانت المدينة الذهبية لنا للوصول إليها|وجهتنا الأخيرة سخرت منا بمجدها الذهبي|لقد أرشدتنا مدينة الذهب إلى النصر| لقد تم تقديم الهدف لنا في شكل مدينة مصنوعة من الذهب|كانت المدينة الذهبية هناك، قمة هندسة القردة]."
"evt-expedition-done-WoA-action-1","[المجد للقرود!|الشرف!|للإمبراطور!|من أجل الشهرة والمجد!|إلى التاريخ!|الشهرة التي لا نهاية لها في انتظارنا!|الثروة والمجد!]"
"evt-goldenCity-approach-action","اقترب من المدينة الذهبية"
"fxt-goldenCity-unearthed-name","المدينة الذهبية للإمبراطورية"
"evt-goal-explore-WoA-finish-action","أدخل المدينة الذهبية"
"zn-fleeingHumans-name","Fleeing Humans"
"evt-peaceful-enslavement-action","Demand a tribute of captives"
"evt-peaceful-enslavement-fail","وفقا لتقاليدنا القديمة، أعلنا عن عملية صيد كبيرة. المجد العظيم ينتظرنا في حالة النجاح. أجبر البشر على الفرار إلى البرية وتم إعطائهم الٱسبقية للفرار... عملية الصيد قد بدأت."
"evt-peaceful-enslavement-success","لقد استسلم البشر لإرادتنا، مدركين أن تقديم جزء من مجتمعهم لنا كجزية كان أفضل فرصة للحرية للبقية. جمعنا بسرعة الجزية البشرية في عربة النقل. بقية البشر لا يستطيعون النظر إليهم في عيونهم، لأن عارهم كان كبيرا جدا."
"evt-forceful-enslavement-action","دعوة لعملية صيد مجيدة"
"evt-village-huntSlaves","قمنا بتقييم البشر وقررنا أنهم سيكونون جزية جديرة بالإمبراطور القرد العظيم. هل ينبغي لنا أن نتبع تقاليدنا القديمة وأن نعلن عن عملية صيد عظيمة أو نسلمهم بطريقة أقل عظَمة؟"
"evt-peaceful-enslavement-fail-2","بإمكانهم أن يروا من خلال تهديداتنا وأكاذيبنا ولقد قرروا استغلال فرصهم واتخاذ موقف."
"evt-shrine-14-mod","استنشقت الهواء. [كان الأمر كما لو كنت في مكان عام |كانت رائحته مثل البراز المتعفن في المجاري|رائحة كريهة قوية، مثل الأحياء الفقيرة في مدينة القردة في ذروة الصيف]. أو خندق على جانب الطريق. ثم رأيت الأبخرة، وأثيرت رائحة مثيرة للاشمئزاز من الشقوق الصغيرة في الأرض."
"evt-buy-moonstone-title","شراء حجر القمر"
"evt-buy-moonstone","لقد أقنعنا المعسكر بأن يبيعو لنا الجزية اللازمة لدخول المدينة الذهبية المحلية."
"evt-stoneCircle-revealSlaver-action","الكشف عن المعسكرات"
"evt-pacify-success","تمكنا من تهدئة مخاوفهم من خلال الكلام المعسول. تراجع الحشد... في الوقت الحالي."
"evt-pacify-action","هدئ الحشد"
"evt-negotiate-success","After a passionate rhetorical masterpiece, the Humans were taken aback. The mob backed down...for now."
"evt-negotiate-action","دعوة إلى التعقل"
"evt-show-of-force-success","We arrayed ourselves in all our martial splendor, weapons on display. The mob backed down...for now."
"evt-show-of-force-action","إظهار القوة"
"evt-seal-slaves-title","Tap into Human life force"
"evt-seal-slaves","The Humans gave their life force as a tribute to the Golden City. The sheer power of the ritual was overwhelming, and you did not have to be a court shaman to feel that change was literally in the air all around the site."
"evt-goldenSeal-slaves","اقتربنا من هيكل [قديم|غامض|مهيب|قديم جدا] يبدو أنه بني بذهب خالص. بدا مثل الكثير من المواقع القديمة التي جمعت الجزية لمدن الذهب. [مع بعض الجهد نأمل أن نكون قادرين على تحريكه|أعتقد أنه باستخدام قوة حياة البشر يمكننا تحريكه|مع القليل من الإعداد والوقت، يمكننا بالتأكيد تفعيله]. ومع ذلك، ما سيحدث بالضبط بعد التفعيل بقي لغزاً."
"evt-goldenSeal-1-slaves","[استغرقنا بعض الوقت، ولكن في النهاية|بعد عدة ساعات من الطقوس|بعد الكثير من العمل] كنا [قادرين|بما فيه الكفاية] على [إرضاء|فتح|تفعيل] آلية [قديمة|غامضة|غير عادية|ضخمة|غامضة]. فجأة عمود ضخم من الضوء [برز|إرتفع|أطلق|تمدد] من الختم."
"pl-berserker-title","المحارب المتوحش"
"pl-berserker","المحاربين المهووسين بالموز المسكر، إقتربوا بحرص."
"pl-vanguard-title","الطليعة"
"pl-vanguard","أعضاء طليعة الجيش الإمبراطوري هم من نخبة الكشافة المدربين في حرب الجبال."
"it-lokiGun-athena-name","غضب القدماء"
"it-lokiGun-athena","سلاح أثينا الشخصي هو قطعة أثرية قديمة من القوة الجامحة."
"narrator-1","كما هو الحال دائما، جاء [، النبلاء|، الرعايا|، المتملقون] من أمبراطور القردة لتقديم التماس إلى [صاحب الجلالة|روعته|ربهم]. ما الذي يجعلك تعتقد أنك تستحق وقته؟"
"narrator-2","أنت نبيل تافه، أنت لا أحد. يجب عليك إنشاء اسم لنفسك! قم بزيارة المدن الذهبية للإمبراطورية، وخلف اثرا او انطباعا قويا لدى قادتها!"
"narrator-3","في طريقك، داهم البشر المثيرين للشفقة، اقبض عليهم وقدمهم كجزية للمدن الذهبية. ولكن كن على علم، منافسيك دائما قريبون."
"narrator-4","الآن غادر، قم بالصيد والنهب. إذا عدت ثريا ومشهوراً، فقد تصبح جزءًا من دائرته الداخلية. للإمبراطور القرد! "
"outro-pyramid","المدينة الذهبية"
"cl-celebration-audience-10","[تزوجني!|يا للوسامة!|أحبك!|رجال القردة و النساء يعملون معًا!]"
"cl-celebration-audience-11","[ذلك الجاموس ضخم!|إذا، هكذا يبدو الجاموس!|انظر إلى ذلك الجاموس!|ما اسم الجاموس؟]"
"cl-celebration-audience-1","[انظر إلى ذلك|يا له|ذلك] حمار[لطيف|مخلص|موثوق|شجاع]!"
"cl-celebration-audience-2","[يا له من كلب وفي!|أتمنى لو أن عندي كلبًا مثله!|ذلك الكلب يستحق وسامًا!]."
"cl-celebration-audience-3","[أستطيع شم الكحول من هنا!|هل تريد أن نتشارك ذلك الموز المسكر؟|هل تلك زجاجة موز مسكر؟]"
"cl-celebration-audience-4","[يا لها من سيدة!|امرأة قرد، حقًا؟|دعوا المغامرة للقردة الرجال!|هل عيني تخدعني، إنها امرأة قرد؟|عد إلى المكتبة!|الأزمان تتغير.|حسنًا، هذه مفاجأة سارة للجنس العادل.|إنها رائعة.|ينبغي أن تعرف مكانها!|الأوقات تتغير إلى الأفضل بالتأكيد.| ليس سيئًا بالنسبة لامرأة قرد.|إنها قدوة!]"
"cl-celebration-audience-5","[وحشي!|غير متحضر!|لماذا أحضرته إلى هنا؟|بدائي!|هل يستطيع الكلام؟]"
"cl-celebration-audience-6","[كيف يكون ذلك الشيء حيًا حتى؟|لا يعجبني ذلك الشيء!|الرعب!|ما هذا؟|هل يستطيع الكلام؟|أنا خائف!|ذلك الشيء ينتمي إلى حديقة الحيوان!|يا له من شرير!]"
"cl-celebration-audience-7","[وحيد تمامًا؟!|أين الآخرون؟|ربما فازوا وحدهم؟|ذلك يجعلك تتساءل عما حدث لباقي للطاقم...|لا بد أنها كانت رحلة وحيدة.|هل هلك بقية الفريق؟|قرد واحد فقط؟]"
"cl-celebration-audience-8","[سيد الحيوانات!|لا بد أنه يحب الحيوانات.|يقدر الحيوانات أكثر من القردة.|ربما يمكنه التحدث إلى الحيوانات أيضًا.]"
"cl-celebration-audience-9","[لماذا هذا العدد الكبير من الجنود؟|يجب تقدير أي جندي جيد من جانبهم.|هل هم عائدون من الحرب؟]"
"cl-celebration-audience","[برافو|نعم|أتمنى لو كنت مثلك|أنت مصدر إلهام لي|خيالي|رائع|بطولي|مدهش|دعني أرى|لقد حفظ القدماء الإمبراطور|من أجل الإمبراطورية|للإمبراطور والقردة|لا يصدق|ممتاز|يا له من يوم|شجاع جدا|يا لها من فرحة|استثنائي]!"
"cl-celebration-party-1","[حان وقت الاحتفال بمشروب!|*هيك*|بالصحة!|دعونا نشرب الموز المسكر!]"
"cl-celebration-party-2","[أنا فقط أقوم بعمل الإمبراطور!|بارك الله فيك!|أريد فقط تقديم المساعدة!]"
"cl-celebration-party-3","[مهما يكن.|أنا لا أهتم أصلا.|أتمنى أن تكون سعيدا.|الشعور مثل البطل؟]"
"cl-celebration-party-4","[لماذا ينظر كل هؤلاء القردة إليّ؟|هذا لا يبدو آمنا.|كل هذا من أجلي؟|سيستغرقني هذا بعض الوقت للتعود على هذه الأمور.|هناك الكثير من القردة.]"
"cl-celebration-party-5","[وأخيرا، قردة متحضرون مرة أخرى.|اهدأوا جميعا، لقد عدت.|كل شيء يبدو مختلفا.|أشعر بالسعادة لعودتي.]"
"cl-celebration-party","[شكرا جزيلا!|أنا ممتن لكم!|هذا لطف منكم!|شكرا!|أوه، هذا ببساطة رائع!|إنه لأمر مدهش!|هذا رائع!]"
"pk-goodReputation-title","فرض الوجود"
"evt-harbor-recruit-soldierBritish-action","$name الناهب"
"evt-harbor","[في وقت مبكر من صباح ذلك اليوم|كان الهواء نقي، مع لمسة مالحة|مليئ بالتوقعات|انتظر بفارغ الصبر الغزوة القادمة|بعد الاستيقاظ عند شروق الشمس|بعد ليلة راحة جيدة|بعد أن كنت متحمس جدا للنوم] أنا [وصلت إلى حوض السفن|تقدمت في طريقي إلى حوض السفن|صعدت إلى السفينة|قمت بتخزين أجهزتي على السفينة|وصلت إلى الميناء|سارعت إلى الوصول إلى الميناء|فعلت ذلك بسرعة ووصلت إلى حوض السفن]. [لا يزال أعضاء الفريق بحاجة إلى بعض الأعمال التحضيرية|كان القبطان لم يصل بعد|لا تزال هناك بعض الاستعدادات التي يتعين القيام بها|كان لدينا بعض الوقت قبل أن تكون السفينة جاهزة]،[لذلك أخذت كأسا واحدا من الموز المسكر|قضيت وقتي على ضهر السفينة،استمتع بالنسيم البارد|لذلك جلست على الرصيف وانتظرت|لذلك رأيت ما إذا كان هناك أي شيء يمكنني القيام به|لذلك أديت طقوسا لتسير الرحلة بسلاسة|لذلك تخيلت ماذا يوجد خلف الأفق|لذلك شعرت بالمتعة قليلا متصورا إسمي يهمس به في المحكمة|لذلك تخيلت كيف سيبدو وجهي على تمثال فخري]."
"evt-harbor-recruit-1","[كنت فخور برؤية ذالك|كما لو كنت واحد من أشهر القرود في المحكمة،|كان من دواعي سروري أن أشهد|لقد انتشرت أخبار الغزوات المجيدة والجزى، لذلك لم أتفاجأ برؤية هذا] [انتشرت شهرتي بين الحاشية والمتملقين الإمبراطوريين|لقد جذبت قصص مغامراتي كل أنواع الشخصيات المهمة|لقد جذبت قصص غزواتي السابقة والجزى بعض الاهتمام| أخبار رحيل سفينتنا جمعت الكثير من الحشود]. [ظهر العديد من المجندين الجدد،|لقد اقترب مني بعض القردة الأقوياء][الذين يريدون الإنضمام لحفلة الغزو الخاصة بي إلى المجهول| الذين لديهم روح مغامرة كافية للانضمام لمسيرتي|المتحمسين للنهب والمجد|المهتمين بمعرفة المزيد عن المدن الذهبية الست في الإمبراطورية|لمعرفة حقيقة الأساطير التي تحيط بإنجازاتي|متعطشين للمجد والنهب]. من الذي أردت _تجنيده؟_"
"evt-harbor-recruit-2","[هذه الحملة يمكن أن ترفعني إلى المركز الأول وفوق منافسي|كان سباقًا متقاربًا على المركز الأول والجائزة التي يرغب فيها الجميع المقدمة من نعم سمو الإمبراطور|غزواتي السابقة وتكريماتي كانت ناجحة جدًا وشعرت أنني كنت قريبًا سأرى وجهي على تمثال فخري]. [لقد انتشرت كلمات عن هذا في عاصمة الإمبراطورية|كانت إنجازاتي معروفة|سمعتي تسبقني] ، [وجاء العديد من القردة لرؤية سفينتنا |لقد جذب ذالك بعض القردة المغامرين لقضيتي|لقد وصل العديد من المجندين الجدد إلى السفينة، راغبين في الإنضمام لحفلة الغزو الخاصة بنا]. من كنت أريد تجنيده _recruit?_"
"evt-harbor-recruit-3","[كانت سمعتي لا تزال سيئة، لكن|بعد جهود غزواتي السابقة، كنت مسرورا] [فقد لاحظت اهتمامًا طفيفًا بأفعالنا|المزيد من القردة بدأت تظهر اهتمامًا بسفينتنا]. من كنت أرغب في _تجنيده?_"
"evt-harbor-select","[في الوقت المناسب|بعد طول انتظار|كان الأدرينالين يضخ كما|قفز قلبي مترقبا بمجرد أن سمعت أن] [ال|خاصتنا]
[المركب|السفينة] كانت [جاهزة|معدة|تستعد] [للمغادرة|للإبحار|لمغادرة الميناء|للمغادرة بسرعة|للتوجه نحو الشواطئ البعيدة|للدخول إلى البحر."
"evt-harbor-recruit-mountainTrooper-action","$name the vanguard"
"evt-village-recruit-bloodrider-action","$name the Bloodrider"
"evt-village-recruit-bloodrider","$name the Bloodrider joined the trek."
"evt-harbor-recruit-berzerker-action","$name the berserker"
"evt-harbor-recruit-berzerker","$name the berserker joined our trek."
"pk-whiskyIncrease-1-title","Bananaschnapps Fanatic 1"
"pk-whiskyIncrease-1","يزيد من الصحة العقلية المكتسبة عند شرب الموز المسكر."
"pk-whiskyIncrease-2-title","Bananaschnapps Fanatic 2"
"pk-whiskyIncrease-3-title","Bananaschnapps Fanatic 3"
"pk-whiskyIncrease-4-title","Bananaschnapps Fanatic 4"
"bonus-whisky","Bananaschnapps Sanity"
"pl-native-starting-shaman-title","Court shaman"
"pl-native-starting-shaman","أحد المستشارين المقربين لإمبراطور القردة. يمارس الشعائر القديمة وتقاليد الكيمياء (فرصة لكسب الصحة العقلية عند استخدام الفطر)"
"evt-village-recruit-shaman-action","$name the shaman"
"base-sanity","المعنويات"
"help-sanity","مستوى التحفيز والرضا في حفلات الغزوات التي تقوم بها. سينخفض إلى الصفر وستبدأ أحداث كارثية أكثر وأكثر."
"base-standing","Dominance"
"help-standing","حدد كيف يخضع البشر في هذه المنطقة لسلطتك. إذا انخفضت درجة الخضوع، يمكنهم أن يثوروا."
"pl-native-starting-scout-title","Imperial scout"
