"fxt-village-human-name","Poblado humano"
"bonus-whisky","Cordura de Bananaschnapps"
"pl-native-starting-shaman-title","Chamán de la Corte"
"pl-native-starting-shaman","Uno de los consejeros cercanos del Emperador Simio. Es practicante de ritos ancestrales y las tradiciones de la alquimia (Posibilidad de ganancia de sanidad al utilizar setas)"
"evt-village-recruit-shaman-action","$name, el chamán"
"base-sanity","Moral"
"help-sanity","La motivación y nivel de satisfacción de tu grupo de incursión. Llega a cero, y más y más eventos catastróficos comenzarán a ocurrir."
"base-standing","Dominio"
"help-standing","Qué tan serviles son los humanos de esta región ante tu autoridad. Permite que llegue muy bajo, y pueden tornarse rebeldes."
"pl-native-starting-scout-title","Explorador imperial"
"world-adjective","[Estado Cliente|Provincia Imperial|Ciudad Estado|Enclave Imperial|Reino Cliente|Reino Tributario|Estado Vasallo|Reino Vasallo|Ciudad Magnífica|Gran Ciudad|Gran Colonia|Colonia Rica|Gran Provincia|Provincia Rica|Enclave Militar|Enclave Mercantil|Enclave Científico|Cábala Chamánica|Tierras de Cacería] [del Pretor|del Cónsul|del Procónsul| del Gobernador|del General|del Señor de la Guerra|del Maestro de Guerra|del Autarca|del Exarca|del Maestro|del Hierofante|del Sabio|del Ministro|del Legado|del Señor|del Capataz|del Regente|del Tetrarca|del Triarca|del Pentarca] [Appius|Aulus|Caeso|Caligula|Caracalla|Commodus|Decimus|Domitianus|Elagabalus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Macharius|Mamercus|Manius|Marcus|Marius|Mettius|Minatius|Nero|Nerva|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Pompeius|Postumus|Publius|Pullo|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Sulla|Tiberius|Titus|Tullius|Tullus|Vibius|Volesus|Vopiscus|Vorenus]"
"gol-goldenTemple-arctic","Una Ciudad Dorada puede ser encontrada en esta región."
"gol-goldenTemple-buried","Contiene una Ciudad Dorada disfrazada por una ilusión chamánica."
"gol-goldenTemple-moonStone","Una Ciudad Dorada puede ser encontrada en esta región."
"empty-name",""
"evt-village-enter-neutral","[Los aldeanos nos observaban con precaución mientras nuestro grupo llegaba a su establecimiento.| Al nosotros llegar, la aldea estaba repleta de actividad, pero se detuvo tan pronto los Humanos fijaron su vista en nuestro grupo.] [Nos aproximamos a ellos abiertamente y nos detuvimos en la entrada de la aldea|Estábamos parados en la entrada de la aldea y consideramos nuestras opciones con estas personas]."
"evt-ship-arrival","Estaba terminando mis preparativos matutinos, cuando|Mi nivel de concentración hacia mis estudios sobre esta área era alto, cuando|Temprano en la mañana,|El viaje a lo largo del océano trajo consigo varios avistamientos maravillosos de la vida marina, y luego|Mis pensamientos estaban enfocados en el asalto que se avecinaba, hasta que|Después de una inesperadamente calmada travesía|No me atrevo a enumerar todas las pruebas y tribulaciones de la travesía, pero afortunadamente|Después de viajar por semanas|Después de demasiados días salados en el océano|Después de apenas haber sobrevivido una de las más monstruosas tormentas eléctricas que he visto desde un barco|Era glorioso navegar por los mares abiertos, y me entristecí un poco cuando|Después de semanas de pura comida asquerosa y nada de bananas|Justo cuando pensaba que nunca encontraríamos un camino a través de estas aguas,|En medio de la densa neblina de una mañana lluviosa,][Llegamos a las tierras del gobernante local|por fin llegamos a la costa de nuestra área a invadir|arribamos a nuestra área a invadir|una orilla emergió de la neblina matutina]. [El campo se abría paso en frente de nosotros, vasto e indomable|El paisaje foráneo nos invitaba a explorar|Tenía curiosidad de descubrir qué tipo de peligros nos esperaban aquí|Habíamos llegado, y era hora de arremeter|Yo sabía que este lugar tenía la llave de mi avance en la corte|Yo sabía que necesitaba encontrar e impresionar al gobernante local|Yo sabía que necesitaba encontrar la Ciudad Dorada]."
"evt-village-enter-forsaken","[La aldea estaba vacía.|Una visión escalofriante: era como si los habitantes de esta aldea nunca hubiesen vivido ahí. No había un solo hombre, mujer o niño en todo el lugar.|La aldea estaba abandonada por completo.] [Era obvio que la gente había dejado el lugar a toda prisa.|Parecía un lugar olvidado hacía mucho tiempo, uno que pronto se volvería indistinguible del paisaje que lo rodeaba.] Registré el sitio, pero no encontré nada de utilidad."
"evt-postNarrative-extra-1","Los grandes esfuerzos de sus aventuras habían dejado cicatrices en su [cuerpo|mente|alma] y su familia atestiguó que $he era ahora una sombra de la persona que una vez conocieron."
"evt-postNarrative-extra-2","$He usó la riqueza que había acumulado para impresionar a la nobleza y a los simios comunes, organizando uno de los más grandes festivales con banquetes y juegos que el Imperio alguna vez había visto."
"evt-postNarrative-extra-3","Pese a que se desenvolvía en la sociedad de una manera rudimientaria, $he encontró imposible desarrollar nuevas amistades, ni se diga de asegurar aliados sociales y políticos."
"evt-postNarrative-extra-4","Sus incursiones le dieron una invaluable perspectiva de la fragilidad de la vida, así que $he se esforzó cada día por [mejorar su estatus|forjar un nombre para sí|ganar favor junto a los nobles del Imperio|acumular riqueza|ganar nuevos aliados|asegurarse una posición privilegiada con la Corte Imperial]."
"evt-postNarrative-extra-5","$He ganó fama local por construir un vasto hábitat para los variados y extraños animales que había [obtenido en circunstancias misteriosas|traído a casa luego de sus últimas incursiones]."
"evt-postNarrative-extra-alcoholic","$He [siempre se aseguraba de cargar un frasco de Bananaschnapps consigo adonde fuera|sentía que el Bananaschnapps le ayudaba a lidiar con el trauma de ser mediocre|creía que el Bananaschnapps era necesario para ser en verdad capaz de expresar el propio ser]."
"evt-postNarrative-extra-animalName","Un hábitat humano recién descubierto fue nombrado en su honor."
"evt-postNarrative-extra-bipolar","A lo largo de su vida, $he experimentó semanas y meses de fases maniáticas en las que mostraría [una increíble energía, seguidas por períodos igualmente largos de debilitante depresión|fluctuaciones de humor extremas]."
"evt-postNarrative-extra-cookCanibal","Su especialidad era un platillo [frutal|de champiñones mezclados|de carne picante|de una curiosa carne]. La gente venía de todos los rincones del Imperio a probarlo y, sin embargo, nunca nadie develó sus ingredientes secretos."
"evt-postNarrative-extra-cookPyromaniac","Desafortunadamente, el lugar se quemó hasta sus cimientos bajo circunstancias sospechosas. $name nunca se recuperó [financiera|en reputación|emocional] ni mentalmente de esa pérdida."
"evt-postNarrative-extra-cookSoup","Su algo famosa especialidad era una exótica sopa que $he clamaba haber confeccionado con la ayuda de los más famosos chefs de las Ciudades Doradas."
"evt-postNarrative-extra-firstChildName","$He llamó al primero de su progenie como [quien lideró las incursiones que dieron forma a su vida|quien gobernaba una de las Ciudades doradas que encontró durante sus viajes|la nave que le llevó a casa]."
"evt-postNarrative-extra-kleptomaniacPoor","$He fue exiliado de la corte luego de que [intentara reclamar artefactos que nuestras incursiones habían|tratara de robar algunos de los prisioneros humanos que su grupo de incursión había|tratara de robar algunos de los artefactos que su grupo de incursión había] traído de vuelta."
"evt-postNarrative-extra-kleptomaniacRich","$He se sumergió en el lujo hasta un grado [insano|notorio|pomposo], aunque la fuente precisa de sus riquezas nunca fue aclarada de manera exacta."
"evt-postNarrative-extra-nativeFashion","$He no dejó de ostentar sus excéntricos ropajes e incluso inspiró [un nuevo estilo de calzado|un nuevo y distinto tipo de sombreros|una nueva clase de indumentaria para incursiones|un boom de la moda] durante [un verano particular|un invierno particular|una temporada particular]."
"evt-postNarrative-extra-noLoyalty","Más tarde, $he se convirtió en fuente de duras críticas a sus propias expediciones de asalto y elaboró [una gran cantidad de|una particular|una reducida cantidad de] obra escrita. [Teniendo una muy amplia distribución|Siendo de poco conocimiento público], sus [artículos|libros] hablaban sobre la posibilidad de que quizá los humanos eran más que, simplemente, unos animales patéticos con apenas capacidad de sentir. Fue fuertemente criticado por sus heréticos puntos de vista."
"evt-postNarrative-extra-racistChange",""
"evt-postNarrative-extra-royalName-1","[$He fue formalmente reconocido como un noble por la Corte Imperial y portó su nuevo título con gran orgullo|$He declinó un título formal proveniente de la Corte Imperial]."
"evt-postNarrative-extra-royalName-2","A $He le atormentaban [implacables|interminables] pesadillas relacionadas con las [horribles|inexplicables|oscuras|malignas] cosas que había hecho."
"evt-postNarrative-extra-royalName-3","$He no volvió a mencionar palabra alguna sobre lo que había hecho durante sus viajes."
"evt-postNarrative-extra-royalName","[Una nave|Un buque|Un puente|Una calle|Un hábitat humano] de la realeza fue llamado en su nombre."
"evt-postNarrative-extra-soldierLife","$He recibió la condecoración de una medalla militar por [salvar la vida de un compañero simio a costa de arriesgar su propia vida|capturar un número impresionantemente alto de humanos|asegurar una aldea de humanos rebelde con una sola mano|marchar durante tres días seguidos sin dormir para entregar un importante elemento de inteligencia]."
"evt-postNarrative-extra","$He mantuvo el contacto con la mayoría de los otros supervivientes y con ellos intercambió correspondencia cada mes hasta su muerte, años después. Permanecieron como aliados en el juego de escalar socialmente."
"evt-postNarrative-extraCampaign","$name regresó triunfante [a la Capital Imperial|al corazón del Imperio|a las ondulantes colinas de las tierras imperiales|a los pacíficos valles de las tierras imperiales|a las impresionantes montañas de las tierras imperiales|a las exuberantes costas esmeralda de las tierras imperiales|al lugar al que llamaba hogar|con sus seres amados|a su hogar|a su ciudad de origen|con su familia]. La estatua en verdad le hacía justicia, y, sin embargo, no conseguía descanso. Vívidas pesadillas de una tierra distante le atormentaban cada noche. $He no sabía cómo, pero era como si un nuevo conocimiento se estuviera formando gradualmente en su conciencia. De alguna forma, $he supo que tendría que zarpar una vez más, y este sería su último viaje. Esta vez, $he no iría en busca de fama, sino de algo mucho más grande..."
"evt-postNarrative-lateLife-alcoholicDeath","$He [tuvo una muerte prematura, tras muchos años de beber con intensidad|murió en una pelea de borrachos|consiguió que le asesinaran, luego de que despotricara contra el Emperador Simio|murió por la mano de un amigo, tras una discusión de borrachos|murió de un padecimiento relacionado con el Bananaschnapps, luego de pasar el día entero bebiendo|se ahogó en el océano bajo la luz crepuscular de un frío día de otoño|vivió hasta una edad muy avanzada, pese a su constante bebedera]."
"evt-postNarrative-lateLife-familyDeath","$He [murió en los brazos de sus leales criados|tomó su último aliento en compañía de su inmensa familia y numerosos aliados]."
"evt-postNarrative-lateLife-genericDeath","$He vivió una vida larga y [feliz|humilde|tranquila] y murió en presencia [de su familia|de su siempre conspiradora esposa|de sus ingratos nietos|de un chamán de la Corte|de su fiel mascota]."
"evt-postNarrative-lateLife-lepidopterophobiaDeath","Pese a todas las aventuras en las que $he no pereció por su miedo a las [mariposas|grandes polillas], [su vida se vería reducida en adelante por|murió en] un trágico accidente que tendría lugar mientras [cazaba|escalaba|realizaba una incursión]. Tal fue su afectación por la fobia, que [entró en un estado de confusión|perdió el control] y cayó por un precipicio."
"evt-postNarrative-lateLife-missionaryDeath","$He vivió una vida [humilde|tranquila|modesta|sencilla] y murió [habiendo servido al Emperador Simio|en adoración al Emperador Simio|en presencia de sus aliados]."
"evt-postNarrative-lateLife-nativeDeath","$He [murió de malaria|murió por el desafortunado ataque de un elefante|durante una estampida de ganado|murió por las graves heridas que, por muy mala suerte, le causó un jabalí|murió bajo las desgarradoras zarpas de un tigre, mientras buscaba agua en el estanque|murió en paz, en compañía de sus aliados]."
"evt-postNarrative-lateLife-paranoidDeath","[$He pasó los últimos años de su vida en prisión, luego de asesinar a un colector de impuestos por una supuesta extorsión|Se desconoce su paradero en los últimos años, luego de que desapareciera una noche cualquiera|La última persona que le vio dijo que iba corriendo sin ropa por la calle, mientras ladraba como un humano|$name pasó los últimos años de su vida en un sanatorio, adonde fue a parar luego de que atacara al señor de su localidad acusándole formar parte de un culto de adoración tentacular|Se regó el rumor de que cayó en la locura|Los rumores sugieren que se convirtió en escriba, manteniendo un estado de reclusión permanente y una obsesión con ciertas Deidades inmemoriales]."
"evt-postNarrative-lateLife-seventhWorldDeath","En su vida tardía, se obsesionó con [recurrentes|inquietantes] [sueños|pensamientos|nociones|visiones|pesadillas] sobre una [olvidada|restante|oculta] [Ciudad de Oro de origen antiguo|séptima expedición]. [$He desapareció sin dejar ningún rastro|No se le volvió a ver, ni se escuchó más nada sobre $he]."
"evt-postNarrative-lateLife-soldierDeath","$He murió en una guerra en la que [su escuadrón fue diezmado por desobediencia|formó parte de numerosas victorias antes de su captura y ejecución por un señor de la guerra enemigo|sacrificó su propia vida por el bien del Imperio|desafió las ordenes que le fueron dadas, y subsecuentemente todo su escuadrón le apuñaló hasta la muerte|avanzaba temerariamente, casi de manera suicida]."
"evt-postNarrative-middleLife-1","Luego de regresar, $name [viajó a lo largo y ancho de las provincias imperiales y reinos cliente|visitó muchos de los territorios del imperio] [hablando|hablando públicamente|realizando lecturas] sobre aquellas famosas incursiones."
"evt-postNarrative-middleLife-2","$name regresó a su hogar y vivió su vida en reclusión. Después de algunos años, publicó sus memorias, las cuales [no recibieron mucha atención pública|no consiguieron cautivar la imaginación del público|se convirtieron en un gran éxito, permitiéndole vivir una vida financieramente cómoda|se convirtieron en un éxito de la noche a la mañana, y le convirtieron en el tema de conversación de la corte]."
"evt-postNarrative-middleLife-3","$name permaneció en las tierras imperiales y nunca regresó a su antiguo hogar."
"evt-postNarrative-middleLife-4","$name [regresó a su tierra natal y jamás volvió a poner un pie en las tierras imperiales|había desarrollado una pasión por ambas culturas y, a lo largo de su vida, realizó muchos viajes entre la gloriosa Capital Imperial y su humilde tierra natal]."
"evt-postNarrative-middleLife-5","$name forjó [una posición para sí|una profesión] en las filas del ejercito."
"evt-postNarrative-middleLife-6","$name regresó a la Capital Imperial y abrió [un pequeño|un diminuto|un humilde|un exclusivo] [restaurante|comedor de beneficencia|establecimiento de comida], el cual manejó durante muchos años."
"evt-postNarrative-middleLife-7",""
"evt-postNarrative-middleLife","$name regresó a su hogar [y comenzó a trabajar en su antigua profesión otra vez|pero el desgaste físico le impidió alguna vez volverse a dedicar a una profesión normal|y acabó escribiendo una serie de textos instructivos sobre ""El Arte de la Incursión""|y vivió del dinero de la adinerada persona con la que se casó poco tiempo después|y se convirtió en alcalde de su ciudad|y le fue otorgada la asesoría de la Corte Imperial|y abrió una pequeña librería, en un intento por difundir mayor conocimiento sobre el mundo|y, tras algo de fama inicial, se desvaneció entre las sombras de la historia]."""
"evt-postNarrative-special-1","$name regresó triunfante [a la Capital Imperial|al corazón del Imperio|a las ondulantes colinas de las tierras imperiales|a los pacíficos valles de las tierras imperiales|a las impresionantes montañas de las tierras imperiales|a las exuberantes costas esmeralda de las tierras imperiales|al lugar al que llamaba hogar|con sus seres amados|a su hogar|a su ciudad de origen|con su familia]. $He vivió una vida [mediocre|sin mayores acontecimientos|insatisfecha] y nunca olvidó, hasta el día de su muerte, cómo falló en su empresa fundamental de convertirse en el Elegido del Emperador Simio."
"evt-postNarrative-special-2","$name regresó triunfante [a la Capital Imperial|al corazón del Imperio|a las ondulantes colinas de las tierras imperiales|a los pacíficos valles de las tierras imperiales|a las impresionantes montañas de las tierras imperiales|a las exuberantes costas esmeralda de las tierras imperiales|al lugar al que llamaba hogar|con sus seres amados|a su hogar|a su ciudad de origen|con su familia]. $He vivió durante muchos años. Algunos fueron buenos, otros fueron malos, pero su estrella nunca brilló con tanta fuerza como cuando navegó alrededor del mundo buscando la gloria. Estuvo tan cerca de alcanzar la fama eterna. Hasta el final, se le recordaría por fallar al intentar alcanzar su más grande meta."
"evt-postNarrative-special","$name regresó triunfante [a la Capital Imperial|al corazón del Imperio|a las ondulantes colinas de las tierras imperiales|a los pacíficos valles de las tierras imperiales|a las impresionantes montañas de las tierras imperiales|a las exuberantes costas esmeralda de las tierras imperiales|al lugar al que llamaba hogar|con sus seres amados|a su hogar|a su ciudad de origen|con su familia]. [Luego de que|Una vez que] [una estatua fuese moldeada a su semejanza,|hubiese asegurado su legado con una espléndida estatua, $he] disfrutó una vida [larga|gloriosa|exitosa] en la corte como la mano derecha del mismísimo Emperador Simio, sabiendo que la historia le [recordaría|tendría|estimaría] [en el más alto grado|como parte de los grandes|como un ejemplo de heroicidad de primera clase|como un héroe real|como el más grande invasor que se hubiese conocido|más allá de cualquier medida|como lo mejor que el Imperio tenía para ofrecer|como el rostro de la Corte Imperial durante generaciones|como el pináculo de la grandeza|como alguien a quien admirar|como una inspiración para todos los otros simios]."
"attack-loki-name-1","Rayo estable"
"attack-loki-name-2","Rayo Defensivo"
"attack-loki-name","Rayo de corriente alterna"
"np-malePraenomen","[Appius|Aulus|Caeso|Decimus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Mamercus|Manius|Marcus|Mettius|Minatius|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Postumus|Publius|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Tiberius|Titus|Tullus|Vibius|Volesus|Vopiscus]"
"np-femalePraenomen","[Appia|Aula|Caesa|Decima|Fausta|Gaia|Gnaea|Heria|Hosta|Lucia|Mamerca|Mania|Marcia|Mettia|Mino|Nona|Noviua|Numeria|Postuma|Publia|Quinta|Salvia|Septima|Sertor|Servia|Sexta|Spuria|Statia|Tiberia|Titia|Tulla|Vibius|Volusa|Vopisca]"
"np-maleNomen","[Aelius|Aemilius|Allidius|Alius|Allius|Ampius|Anicius|Annaeus|Annius|Antonius|Arellius|Arius|Atanius|Attiolenus|Audius|Aufidius|Aurelius|Avilius|Babullius|Bombius|Braundutius|Caecilius|Caelius|Caesonius|Calpurnius|Caltius|Calvius|Castricius|Cerrinius|Cincius|Cispius|Claudius|Clodius|Cluvius|Cocceius|Cottius|Cornelius|Cornius|Cossinius|Cossutius|Crassicius|Crepereius|Critonius|Decumius|Didius|Diobellius|Domitius|Egnatius|Erucius|Fabius|Fabricius|Felsonius|Flaminius|Flavius|Fulvius|Furius|Gerillanus|Gerraeus|Gessius|Granius|Heius|Helvius|Horarius|Hordionius|Hostilius|Iulius|Laberius|Labienus|Laelius|Laronius|Licinius|Livius|Loisius|Lollius|Lucceius|Lucretius|Luxius|Maecius|Magulnius|Mamilius|Marcius|Marius|Memmius|Mescinius|Messius|Mevius|Mindius|Mundicius|Naevius|Nerius|Nimmius|Nonnius|Novius|Numitorius|Nummius|Numonius|Obellius|Octavius|Ofellius|Olius|Opellius|Oppius|Orbius|Orceius|Otacilius|Paconius|Pactumeius|Pediasius|Pedius|Petronius|Pettius|Pius|Plaitorius|Plotius|Pompeius|Pompilius|Pomponius|Popilius|Popillius|Porcius|Pumidius|Quinctius|Raecius|Rasennius|Rutilius|Sabinius|Samiarius|Satricanius|Saufeius|Seius|Sempronius|Septimius|Serpoleius|Servilius|Sestius|Sextilius|Spedius|Staius|Stenius|Stertinius|Stlaccius|Sulfius|Sulpicius|Tarquinius|Titinius|Trebellius|Tuccius|Tullius|Turpillius|Tuscenius|Tutorius|Ulpius|Valerius|Varius|Venoleius|Veratius|Verrinius|Verius|Veturius|Veveius|Vibius|Vicirius|Vipsanius|Vinicius|Viseius|Vitellius|Vorenus|Umbricius|Volusius]"
"np-femaleNomen","[Aelia|Aemilia|Allidia|Alia|Allia|Ampia|Anicia|Annaea|Annia|Antonia|Arellia|Aria|Atania|Attiolena|Audia|Aufidia|Aurelia|Avilia|Babullia|Bombia|Braundutia|Caecilia|Caelia|Caesonia|Calpurnia|Caltia|Calvia|Castricia|Cerrinia|Cincia|Cispia|Claudia|Clodia|Cluvia|Cocceia|Cottia|Cornelia|Cornia|Cossinia|Cossutia|Crassicia|Crepereia|Critonia|Decumia|Didia|Diobellia|Domitia|Egnatia|Erucia|Fabia|Fabricia|Felsonia|Flaminia|Flavia|Fulvia|Furia|Gerillana|Gerraea|Gessia|Grania|Heia|Helvia|Horaria|Hordionia|Hostilia|Iulia|Laberia|Labiena|Laelia|Laronia|Licinia|Livia|Loisia|Lollia|Lucceia|Lucretia|Luxia|Maecia|Magulnia|Mamilia|Marcia|Maria|Memmia|Mescinia|Messia|Mevia|Mindia|Mundicia|Naevia|Neria|Nimmia|Nonnia|Novia|Numitoria|Nummia|Numonia|Obellia|Octavia|Ofellia|Olia|Opellia|Oppia|Orbia|Orceia|Otacilia|Paconia|Pactumeia|Pediasia|Pedia|Petronia|Pettia|Pia|Plaitoria|Plotia|Pompeia|Pompilia|Pomponia|Popilia|Popillia|Porcia|Pumidia|Quinctia|Raecia|Rasennia|Rutilia|Sabinia|Salvia|Samiaria|Satricania|Saufeia|Seia|Sempronia|Septimia|Serpoleia|Servilia|Sestia|Sextilia|Spedia|Staia|Stenia|Stertinia|Stlaccia|Sulfia|Sulpicia|Tarquinia|Titinia|Trebellia|Tuccia|Tullia|Turpillia|Tuscenia|Tutoria|Ulpia|Valeria|Varia|Venoleia|Veratia|Verrinia|Veria|Veturia|Veveia|Vibia|Viciria|Vinicia|Vipsania|Viseia|Vitellia|Vorena|Volusia|Umbricia]"
"np-maleCognomen","[Abito|Adjutor|Aemilianus|Adventus|Agrippa|Alexander|Aloysius|Alypius|Amandus|Ambrosius|Amphion|Antonius|Anatolius|Andronicus|Angelus|Aquila|Arcadius|Arvina|Asina|Augustus|Aurelianus|Aurelius|Auspex|Avitus|Balduinus|Bassus|Belenus|Belisarius|Bellator|Bellus|Bibulus|Brutus|Caelestius|Candidus|Caligula|Carinus|Carus|Castus|Celer|Cicero|Cinna|Clemens|Commodus|Crassus|Crescens|Crispus|Datus|Dannicus|Decentius|Decius|Diocletianus|Donatus|Domitianus|Draco|Drusus|Durus|Emeritus|Faustus|Felix|Festus|Firmus|Fortunatus|Fronto|Fuscus|Glaucia|Gracchus|Hadrianus|Honoratus|Honorius|Ianaurius|Ingenuus|Iovita|Iulianus|Iustus|Lepidus|Longinus|Magnus|Marcellinus|Marcellus|Marcianus|Martialis|Maximus|Nerva|Numerianus|Optatus|Primus|Priscus|Probus|Proculus|Pullo|Quintillus|Rogatianus|Rogatus|Rufinus|Rufus|Sabinus|Saturninus|Scipio|Secundus|Seianus|Severus|Silvanus|Sulla|Superbus|Tacitus|Tertius|Traianus|Urbanus|Valens|Valentinus|Valerianus|Verecundus|Verus|Vespasianus|Victor|Victorinus|Vitalis|Zeno|Zosimus]"
"np-femaleCognomen","[Aemiliana|Agrippa|Agrippina|Adventa|Alexandra|Aloysia|Alypia|Amanda|Ambrosia|Amphia|Anatolia|Andronica|Angela|Antonina|Aquila|Arcadia|Augusta|Aureliana|Aurelia|Avita|Balduina|Bassa|Belena|Belisaria|Bella|Bibula|Bruta|Caelestia|Candida|Carina|Cara|Casta|Commoda|Crassa|Crispa|Dannica|Data|Decentia|Decia|Diocletiana|Domitiana|Donata|Drusa|Dura|Emerita|Fausta|Festa|Firma|Fortunata|Fusca|Glaucia|Graccha|Hadriana|Honorata|Honoria|Ianauria|Ingenua|Iovita|Iuliana|Iusta|Lepida|Longina|Magna|Marcellina|Marcella|Marciana|Maxima|Numeriana|Optata|Quintilla|Paulla|Prima|Prisca|Proba|Procula|Rogatiana|Rogata|Rufina|Rufa|Sabina|Saturnina|Secunda|Seiana|Severa|Silvana|Superba|Tacita|Tertia|Traiana|Urbana|Valentina|Valeriana|Verecunda|Vera|Vespasiana|Victoria|Victorina|Zena|Zosima]"
"np-romanTitles","[Praetor|Consul|Proconsul|Governor|General|Warlord|Warmaster|Autarch|Exarch|Grand Vizier|Grand Hierophant|Grand Shaman]"
