"fxt-village-human-name","כפר של בני אדם"
"evt-village-pillage-action","בזיזה ולקיחת שלל"
"evt-village-huntSlaves-action","לצוד את בני האדם"
"evt-village-evict-action","להבריח את האוכלוסייה"
"evt-village-human-abandoned-action","[אחרי איומים רבים, האוכלוסייה המקומית ברחה עם הרכוש המועט שנותר לה|נתנו לבני האדם הזדמנות לסגת והם הסכימו בשמחה|בני האדם, המבועתים מאיומינו, ארזו במהירות את רכושם הזעום וברחו].
כעת הבקתות נטושות."
"evt-village-human-abandoned-morning","[שתיקה מצמררת אפפה את הבקתות הבוקר|לא נראתה כל נפש חיה|אין כל מראה או קול הבוקר], היינו לבד."
"it-slaves-name","אסיר אנושי"
"it-slaves","בן אדם אומלל, נתפס וקשור לתהילתה של אמפריית הקופים."
"pl-slaveCart-title","כלובים"
"pl-slaveCart","כאפשר הובלו על עגלת ההובלה, שידרוג הכלובים איפשר לערימת בני האדם יותר יעילות בכל שידרוג. באמת מצבע מדהים המראה על כושר המצאה יוצא דופן של הקופים!"
"st-slave-stacking-description-1","פלא טכנולוגי של הקופים. מאפשר להעביר בן אדם אחד בכל כלוב."
"st-slave-stacking-description-2","פלא טכנולוגי של הקופים. מאפשר להעביר שני בני אדם בכל כלוב."
"st-slave-stacking-description-3","פלא טכנולוגי של הקופים. מאפשר להעביר שלושה בני אדם בכל כלוב."
"st-slave-stacking-description-4","פלא טכנולגי של הקופים. נותן לך להעביר ארבעה בני אדם בכל כלוב."
"st-slave-stacking-1-title","יעילות קוף 1"
"st-slave-stacking-2-title","יעילות קוף 2"
"st-slave-stacking-3-title","יעילות קוף 3"
"st-slave-stacking-4-title","יעילות קוף 4"
"evt-human-fight","[בהבינם את כוונתך, בני האדם התכוננו להגן על עצמם|מלאי פחד מעצם המחשבה על שעבודם, בני האדם אחזו בנשקים המעטים שהיו להם ונערכו לעמוד מולנו|הגברים והנשים של השבט סירבו להילקח בשקט]. הקרב היה בלתי נמנע."
"evt-human-fight-action","תתפסו אותם בחיים!"
"evt-human-fight-flee-action","נסיגה!"
"evt-human-fight-flee","החלטנו שהפרטים האלו לא שווים את המאמץ ועזבנו לחפש מקום ציד טוב יותר. מעודדים, הם שלחו קבוצת ציד אחרינו."
"evt-combat-loot-human-fight","[סרקנו את האזור ולקחנו איתנו כל דבר בעל ערך|אחרי הניצחון, השלל היה שייך לנו]."
"pl-warlord-title","המצביא של הקופים"
"sp-ee-warlord","ברוטוס, גנרל מבוייש ילחם ללא רחמים כדי להחזיר את מעמדו בעיניו של קיסר הקופים."
"st-warlord-title","נוכחות דומיננטית"
"pl-athena-title","חכם גדול"
"sp-ee-athena","A sage of unrivalled intellect, Athena specialises in preserving weapons from the forgotten ages."
"sp-ee-marcellus","אולי הקוף הכי עשיר ומצויד חוץ מהקוף הקיסר בעצמו."
"pl-marcellus-title","הנסיך הסוחר"
"st-sage-title","ידע עתיק."
"st-sage","היכולת לשמר כלי נשק עתיקים."
"st-merchant-title","הנסיך הסוחר"
"st-merchant","יכולים להרשות לעצמם עוד חבר נוסף למסע."
"pl-bloodrider-title","רוכב דם"
"pl-bloodrider","רוכבי הדם הם בני אדם מומחים במלכודות ובסיירות. להכי מיומן מבינהם יש סיכוי קטן להצטרף לשומר האישי של קיסר הקופים."
"discoverVillage-1-title","פרשים סיירים 1"
"discoverVillage-2-title","פרשים סיירים 2"
"discoverVillage-3-title","פרשים סיירים 3"
"discoverVillage-4-title","פרשים סיירים 4"
"discoverVillage-1","מגלה מוצב קופים בקרבת מקום."
"pl-neophyte-title","טירון"
"pk-research-1-title","חוקר מתחיל"
"pk-research-1","מעלה את האיכות והערך של המחקרים שנוצרו."
"pk-research-2-title","חוקר מתקדם"
"pk-research-3-title","חוקר מקצועי"
"pk-research-4-title","מאסטר חוקר"
"pl-marauder-title","הפושט"
"pl-marauder","הפושט חגג בקרב, נתן השראה לעמיתיו הקופים בעזרת מעשים של כוח."
"anm-warmount-title","Warmount"
"anm-warmount","החיות הכי קשוחות ורעות התרבו והתאמנו למטרה אחת: מלחמה."
"ruins-name","הריסות"
"evt-ruins-2-action","לבחון את ההריסות"
"evt-ruins-3","הריסות עתיקות התנשאו מעלינו. [הם היו במצב נורא, מזג האוויר החריב אותם במשך שנים|הם היו נראים בגיל של הזמן עצמו|הזמן עשה את שלו במבנים אלה|הזמן שחק מה שהיה פעם מראה מלכותי]. [אחד צריך לטפס למעלה על הפנים כדי להגיע לכניסה|מה שהזכיר _גרם מדרגות צר_ הוביל לכניסה היחידה|יכלתי ליצור כניסה על הפלטפורמה העליונה. אנחנו נצטרך לטפס למעלה לקירות החיצוניים כדי להגיע לשם]."
"evt-ruins-2","[מבנה גדול התנשא לפנינו|הריסות עתיקות, הנשכחו על ידי הקופים ובני האדם זהרו באור לפנינו|המבנה לפנינו מקרין גם פחד וכבוד כאחד|הגענו להריסות נשכחות|הגענו לחורבה מלכותית, לכאורה מבנה נטוש של הדורות הקודמים]. [קירות המתכת היו מכוסים בשכבת חלודה|כל מיני הצומח גדלו לעבר השמש|זו הייתה עדות נועזת לכוח של יוצריה]. [גפנים התלויים הפוך הסתירו חלקית את הכניסה המובילה פנימה|אלף המדרגות הובילו לפתח עצום|השער שהוביל פנימה נתן תחושה של צמרמורת]."
"evt-ruins-actions-action","היכנס להריסות"
"evt-ruins-enter","[הגענו למה שנראה כמו כספת תת קרקעית קטנה|לפנינו הייתה מונחת סוג של כספת ישנה|נכנסנו בזהירות למקום איחסון ששמור טוב]. [אם במקום הזה יש חפצים עתיקים, אני ידעתי שנמצא אותם כאן|הסתכלנו בשקט מסביב תא המכוסה בחלודה]. הצעדים שלנו הדהדו בדרכנו לכספת."
"evt-ruins-enter-action","לחקור את הכספת"
"evt-ruins-hint-ice","הברזל היה _קר_ למגע. [כמה מעניין|חייב להיות הספר מדעי לתופעה הזאת|תהיתי אם זה איכשהו נהיה חסין לחום או שהיה הסבר אחר]."
"evt-steal-animals-1","An array of suitable animals was paraded before us. Which one should we trade for?"
"evt-outpost-enter","[I|We|The trek|Our trek|Our group] [arrived|entered|stopped] at the outpost. We were greeted by a slaver and a court shaman. [The place was dirty|It was a place of hopelessness and sorrow|The place reeked of the dark side of humanity|It was a well-secured but mobile encampment|The camp was littered with filth|An acrid stench of human excrement brought tears to my eyes] and [cages filled with slaves were strewn throughout the area|comprised of a collection of cages filled with intimidated prisoners|several large cages were filled with all kinds of different people]."
"it-policebaton-name","שרביט המשטרה"
"it-policebaton","מקל מאוד חסין, ממש טוב בלהכות את בני האדם"
"it-grenade-name","רימון יד"
"it-grenade","קופסאת מתכת בצורת לימון שמתפוצצת אם אתה זורק אותה על בני אדם."
"it-banana-name","בננה"
"it-banana","לפעמים האוכל המפואר של האלים גורם להפגנות מדהימות של כוח פיזי מצד הקופים שבני האדם לא יכולים להשוות."
"zn-roamingNatives-name","בני אדם ציידים-לקטים"
"it-philosophersstone-name","האבן של הפילוסיף"
"it-philosophersstone","הנכס היקר ביותר של אתנה: חפץ עתיק של תפיסה על-חושית."
"anm-warhog-title","חזיר מלחמה"
"anm-warhog","חזירי המלחמה של הקופים ידועים כציידים פראיים. יש האומרים שהם מריחים בני אדם מקילומטרים."
"pl-beastMaster-title","חיית המאסטר"
"pl-beastMaster","חיות המאסטר יכולות לגרום לכול חיה לעבר את סף היכולות הפיזיות שלה. והם לכולם לא יצאו למסע בלי חזירי המלחמה הנאמנים שלהם שהם גידלו מלידה."
"evt-harbor-recruit-beastMasterWarhog-action","חיית המאסטר וחזיר מלחמה"
"evt-harbor-recruit-beastMasterWarhog-1","נצטרך את העזרה של [חיית המאסטר וחזיר המלחמה|מאלף חיות עם ניסיון והחייה הנאמנה|מאלף חיות וחזיר נאמן|הזיווג המהיר] ונקבל אותם בברכה לקבוצה שלנו."
"evt-steal-animals-action","קנה חבילת חיה"
"evt-steal-animals","ביקשנו מהמוצב שיספק לנו חבילת חיה מתאימה."
"evt-village-steal-animal","[דרשנו חיה כמחווה לקיסר הקופים הגדול|הכרחנו את הסוחב להביא לנו אחת מהחיות שלו|הסוחב התרשם מספיק בכדי להביא לנו אחת מהחיות שלו|החיה שהביאו לנו נראתה כדבר השווה ביותר שהיה להם|הסוחב בלע את גאוותו ונכנע לדרישות שלנו|הסוחב ממש תיעב אותנו על זה שלקחנו אחת מהחיות שלו]. אנחנו [קראנו|נתנו שם|נתנו כינוי|החלטנו לקרוא] לחיה $name."
"it-whisky-ape-name","משקה בננה"
"it-whisky-ape","Destilled according to the Ape Purity Law, this is some seriously intense stuff. Not fit for consumption by Humans."
"fxt-outpost-name","מוצב הקופים"
"evt-outpost-init-action","היכנס למוצב הסחר של הקופים"
"evt-village-human-main-0","אנשי הכפר פחדו מהיותנו שם. הורים החביאו את ילדהם וזקני השבט רעדו."
"evt-village-human-main-1","בני האדם הסתכלו עלינו ביראת כבוד. הם ידעו שדמויות עם כוח עצום עמדו לפניהם."
"evt-village-human-main-2","בני האדם נגשו אלינו בזהירות."
"evt-village-human-main-3","לא נראה שבני האדם פחדו מאיתנו כל כך. ההתנהגות שלהם הייתה כמעט... זדונית."
"evt-village-human-main-4","בני האדם היו עוינים. כמה מהם היו למעשה נועזים לשאת בנשק בנוכחותינו."
"evt-expedition-done-WoA-1","After [weeks of raiding|such an endeavour|all this work], [euphoria|great joy|extraordinary pride|tremendous relief] overcame me. I knew that [my|this|the] name $name [would be forever remembered|would not be forgotten|would be synonymous with victory|would be written about long after I departed this life|would be respected at the Imperial court|would go down in the annals of Ape history]."
"evt-goal-explore-WoA-finish","[The majestic Golden City rose above its environment|The Golden City loomed above one and all|We finally arrived at the Golden City|The exotic landscape complimented the extraordinary Golden City|A marvel of Ape architecture, the Golden City was ours to reach|Our final destination taunted us with its golden glory|The city of gold beckoned us to victory|The goal was presented to us in the form of a city made of gold|There was the Golden City, a pinnacle of Ape engineering]."
"evt-expedition-done-WoA-action-1","[התהילה לקופים!|כבוד!|למען הקיסר!|למען התהילה והפירסום!|האלה להיסטוריה!|תהילה אין סופית מחכה!|מזל ותהילה!]"
"evt-goldenCity-approach-action","תיגש לעיר המוזהבת"
"fxt-goldenCity-unearthed-name","העיר המוזהבת של האימפריה"
"evt-goal-explore-WoA-finish-action","היכנס לעיר המוזהבת"
"zn-fleeingHumans-name","בני אדם נמלטים"
"evt-peaceful-enslavement-action","דרוש הוקרה של שבויים"
"evt-peaceful-enslavement-fail","הכרזנו על הציד הגדול כפי שצוו עלינו המנהגים העתיקים. תהילה גדולה מחכה לנו אם נצליח. בני נאדם נכפו לברוח אל תוך הטבע וקיבלו יתרון... הציד החל."
"evt-peaceful-enslavement-success","בני האדם נאספו לרצוננו, הם הבינו שלתת חלק מהקהילה שלהם לנו כמחווה זה הסיכוי הטוב ביותר לחופש לשאר. ארזנו במהירות את מחוות בני האדם לתוך האגלה שלנו. שאר בני האדם לא יכלו להסתכל להם בעיניים, הבושה שלהם הייתה גדולה מידיי."
"evt-forceful-enslavement-action","קריאה לציד הגדול"
"evt-village-huntSlaves","הערכנו את בני האדם והחלטנו שהם יהוו כמחווה טובה לקיסר הקופים הגדול. האם כדאי לנו לעקוב אחרי המנהגים הקדומים ולהכריז ציד גדול או לנסות לשלוח אותם באופן פחות יוקרתי?"
"evt-peaceful-enslavement-fail-2","הם יכלו לראות דרך האיומים והשקרים שלנו והחליטו לקחת את הצ'אנס ולהילחם."
"evt-shrine-14-mod","הרחתי את האוויר. [כמו בית ציבורי|כמו צואה מסריחה|ריח צחנה, כמו שכונות העוני של הקופים בקיץ]. או תעלה לצד הדרך. אז ראיתי את האדים, מחרוזות מטונפות של עשן מבחיל עולות מהחורים הקטנים ברצפה."
"evt-buy-moonstone-title","קנה אבן ירח"
"evt-buy-moonstone","שיכננו את המוצב למכור לנו את המחווה הדרושה בכדי להיכנס לעיר המוזהבת המקומית."
"evt-stoneCircle-revealSlaver-action","חשוף את המוצבים"
"evt-pacify-success","הצלחנו להרגיע את החששות עם מילים מרגיעות. ההמון נסוג... לעכשיו."
"evt-pacify-action","להרגיע את ההמון"
"evt-negotiate-success","After a passionate rhetorical masterpiece, the Humans were taken aback. The mob backed down...for now."
"evt-negotiate-action","פנייה להגיון"
"evt-show-of-force-success","הכנו את עצמו עם כל גאוות הלחימה שלנו, נשקים, האצבע על ההדק. ההמון נסוג... לעכשיו."
"evt-show-of-force-action","מופע של כוח"
"evt-seal-slaves-title","לנצל את כוח החיים האנושי"
"evt-seal-slaves","בני האדם נתנו את כוח החיים שלהם כמחווה לעיר המוזהבת. כוח הטקס היה אדיר, ולא היית צריך להיות שאמאן בכדי להרגיש שהשינוי היה ממש באוויר."
"evt-goldenSeal-slaves","התקרבנו למבנה [מסתורי|גדול|לכאורה עתיק|קדום] שנראה כאילו חלק ממנו נבנה מזהב טהור. זה נראה מאוד כמו אחד מהאתרים העתיקים שאספו מחוות לערים המוזהבות. [עם קצת מאמץ אנחנו נוכל להפעיל את זה|אני מאמין שכוח החיים של בני האדם נוכל להזיז את זה|עם קצת הכנות וזמן בטוח נוכל להפעיל את זה]. למרות זאת, מה שיקרה אחרי ההפעלה נשאר כסוד."
"evt-goldenSeal-1-slaves","[זה לקח לנו זמן, אבל בסופו של דבר|אחרי הרבה שעות של טקס|אחרי הרבה עבודה] היינו [מסוגלים|מיומנים מספיק] [לספק|פתוח|להפעיל] את המנגנון [הלא רגיל|המסתורי|הגדול|לכאורה עתיק|החידתי]. לפתע טור של אור [יצא|התנשא|נורה|השתרע] מן החותם."
"pl-berserker-title","לוחם נורדי"
"pl-berserker","לוחמים שאובססיבים על משקה בננה. גש בזהירות."
"pl-vanguard-title","חיל החלוץ"
"pl-vanguard","חברים בחיל החלוץ הקיסרי הם סיירי עלית שמתאמנים בלוחמה הררית."
"it-lokiGun-athena-name","זעמם של הקדמונים"
"it-lokiGun-athena","הנשק האישי של אתנה הוא חפץ עתיק עם כוח בלתי מרוסן."
"narrator-1","כמו תמיד[, האצילים|, הנושא|, החנפנים] של הקיסרות הקופית באו לעתור [את הוד מלכותו|את הפאר שלו|האדון שלהם]. מה גורם לך לחשוב שאתה בכלל שווה את הזמן שלו?"
"narrator-2","אתה אציל קטנוני, מישהו לא חשוב, אתה צריך לעשות לעצמך שם! לך תבקר בערים המוזהבות של האימפריה, ותרשים את השליטים שלהם!"
"narrator-3","בדרך, תבזוז את את בני האדם הפתטים, תפוס אותם כמחווה לערים המוזהבות. אבל תזהר, האויבים שלך תמיד בקרבת מקום."
"narrator-4","עכשיו תעזוב, תצוד ותבזוז. אם אתה תחזור עשיר ומפורסם, אתה אולי תהפוך לחלק מהמעגל הקרוב שלו. למען קיסר הקופים! "
"outro-pyramid","עיר הזהב"
"cl-celebration-audience-10","[תתחתן איתי!|כמה יפה!|אני אוהבת אותך!|קופים גברים וקופים נשים עובדים ביחד!]"
"cl-celebration-audience-11","[הבופלו הזה ענקי!|אז, ככה בופלו נראה!|תראו את הבופולו הזה!|איך קוראים לבופולו הזה?]"
"cl-celebration-audience-1","[תראו את זה,|איזה|זה] חמור [חמוד|נאמן|נאמן|אמיץ]!"
"cl-celebration-audience-2","[איזה כלב נאמן!|הלוואי ולי היה כלב כזה!|לכלב הזה מגיע מדליה!]"
"cl-celebration-audience-3","[אני יכול להריח את האלכוהול מכאן!|אכפת לך לתת לי קצת מהמשקה בננה הזה?|זה בקבוק של משקה בננה?]"
"cl-celebration-audience-4","[איזו אישה!|אישה קופה, באמת?|תשאירי את ההרפתקאות לקופים גברים!|האם עיני מטעות אותי? אישה קופה?|תחזרי לספריה!|הזמנים משתנים.|טוב, זו הפתעה נאימה למין היפה.|היא צריכה לדעת מה מקומה!|הזמנים בהחלט משתנים לטובה.|לא רע, לאישה קופה.|היא מודל לחיקוי!]"
"cl-celebration-audience-5","[איזה פרא אדם!|כל כך לא תרבותי!|למה הבאנו אותה לכאן?|איזה פיראית!|אני יכול לדבר?]"
"cl-celebration-audience-6","[איך הדבר הזה חיי בכלל?|אני לא אוהב את הדבר הזה|האימה!|מה זה?|אני יכול לדבר?|אני פוחד!|הדבר הזה שייך לגן החיות!|כמה מוזר הדבר הזה!]"
"cl-celebration-audience-7","[לבד?|איפה האחרים?|אולי הם צהלו לבד?|זה גורם לך לחשוב מה קרה לשאר הצוות...|בטח זה היה מסע בודד.|האם כל שאר הקבוצה מתו?|רק קוף אחד?]"
"cl-celebration-audience-8","[חיית המאסר!|חייב להאהוב חיות.|מעריך חיות יותר מקופים.|כנראה יכול לדבר גם עם חיות.]"
"cl-celebration-audience-9","[למה כל כך הרבה חיילים?|חייב להעריך חייל טוב בצד שלהם.|הם חוזרים ממלחמה?]"
"cl-celebration-audience","[בראבו|כן|הלוואי והייתי אתה|אתה נותן לי השראה|פנטסטי|נהדר|הרואי|נפלא|תן לי לראות|הקדמונים הצילו את הקיסר|למען האימפריה|למען הקיסר|למען הקיסר וזן הקופים|מדהים|מושלם|איזה יום|כל כך אמיץ|איזה תענוג|יוצא דופן]|!"
"cl-celebration-party-1","[זמן לחגוג עם משקה!|*היקס*|בוא ניקח משקה בננה!]"
"cl-celebration-party-2","[אני רק עושה את העבודה של הקיסר!|לבריאות!|אני רק רוצה לעזור!]"
"cl-celebration-party-3","[מה שתגיד.|בכלל לא אכפת לי|אני מקווה שאתה שמח עכשיו.|מרגיש כמו גיבור?]"
"cl-celebration-party-4","[למה כל הקופים האלה מסתכלים עלי?|זה לא מרגיש בטוח.|כל זה בשבילי?|אני אצטרך קצת זמן להתרגל לזה.|יותר מדי קופים.]"
"cl-celebration-party-5","[סוף סוף, קופים מתורבתים שוב.|תרגעו כולם, חזרתי.|הכל נראה כל כך שונה.|שמח לחזור.]"
"cl-celebration-party","[תודה לך!|אני המום!|כל כך נדיב מצידך!|תודה!|או, זה פשוט מעולה!|כמה נפלא!|זה נהדר!]"
"pk-goodReputation-title","נוכחות מרשימה"
"evt-harbor-recruit-soldierBritish-action","$name השודד"
"evt-harbor","[מוקדם בבוקר|האוויר היה רענן והיה לו טעם של מלח|מלא ציפיה|מחכה בקוצר רוח לפשיטה הקרובה|לאחר שעלה עם השחר|אחרי מנוחת לילה טובה|אחרי שהייתי נרגש מדי מכדי לישון] אני [הגעתי למזח|עשיתי את דרגי למזח|עליתי על הספינה|שמתי את הציוד שלי על הספינה|הגעתי לנמל|מיהרתי לנמל|הזדרזתי והגעתי למזח]. [לצוות נשארו כמה הכנות לעשות|הקפטן עוד לא הגיע|היינו צריכים לעשות כמה סידורים|נשאר זמן קצר על שהספינה תהיה מוכנה], [אז שתיתי ספל אחרון של משקה בננה|אז ביליתי את הזמן שלי על הסיפון, נהנה מהבריזה הנעימה|אז ישבתי על המזח וחיכיתי|אז בדקתי אם יש משהו שאני יכול לעשות|אז ביצעתי טקס של נסיעה מהירה|אז דמיינתי מה יש מעבר לאופק|נהנתי שלחשו את השם שלי בבית המשפט|אז דמיינתי איך הייתי נראה כפסל כבוד]."
"evt-harbor-recruit-1","[הייתי גאה לראות ש|בגלל שאני הייתי אחד הקופים הכי מפורסמים בבית המשפט,|שמחתי לראות|השמועות על הפשיטות המפוארות והמחוות שלי התפשטו אז לא הופתעתי לגלות ש] [התהילה שלי התפשטה באימפריה|סיפורים על מעשי הגבורה שלי עניינו כל איש ואיש|מעשיות על הפשיטות הקודמות שלי והמחוות שלי משכו הרבה צומת לב|ההפלגה על הספינה שלנו משכה הרבה קהל]. [הרבה מגויסים חדשים הופיעו,|נגשו עלי כמה קופים שהיו]. [מוכנים להתלוות לקבוצת הפשיטות שלי וללא נודע|בעלי יוזמה מספיקה בכדי להירשם למטרה שלי|להוטים לפשיטות ולתהילה|מסוקרנים לגלות עוד על שש ערי הזהב של האימפריה|לגלות את האמת על האגדות של הפשיטות שלי|רעבים לתהילה ופשיטות] מי הייתי רוצה _לגייס?_"
"evt-harbor-recruit-2","[This expedition could potentially lift me into first place and above my rivals|It was a close race for first place and the enviable prize of the Ape Emperor's good graces|My past raids and tributes had been quite successful and I felt I was soon to see my face on an honorary statue]. [Word about this had spread in the Imperial Capital|My exploits were well-known|My reputation preceded me], [and many Apes came to see our ship|attracting a few enterprising Apes to my cause|so many new recruits arrived at the ship, willing to join our raiding party]. Who did I want to _recruit?_"
"evt-harbor-recruit-3","[My reputation was still meagre, but|After the efforts of my past raids I was delighted as] [I noticed a mild interest in our exploits|more Apes started to show an interest in our ship]. Who did I want to _recruit?_"
"evt-harbor-select","[Just in time|At long last|My adrenalin was pumping as|My heart jumped with anticipation as I heard that] [the|our] [ship|vessel] was [ready|prepared|primed] [for departure|to set sail|to leave the harbour|to sally forth|to head for distant shores|to put out to sea]."
"evt-harbor-recruit-mountainTrooper-action","$name חייל החלוץ"
"evt-village-recruit-bloodrider-action","$name רוכב הדם"
"evt-village-recruit-bloodrider","$name רוכב הדם הצטרף למסע."
"evt-harbor-recruit-berzerker-action","$name הלוחם הנורדי"
"evt-harbor-recruit-berzerker","$name הלוחם הנורדי הצטרף למסע."
"pk-whiskyIncrease-1-title","משקה בננה פנטסטי 1"
"pk-whiskyIncrease-1","מעלה את השפיות שמקבלים בזמן שתיית משקה הבננה."
"pk-whiskyIncrease-2-title","משקה בננה פנטסטי 2"
"pk-whiskyIncrease-3-title","משקה בננה פנטסטי 3"
"pk-whiskyIncrease-4-title","משקה בננה פנטסטי 4"
"bonus-whisky","משקה בננה שפיות"
"pl-native-starting-shaman-title","שאמאן"
"pl-native-starting-shaman","One of the Ape Emperor's close advisors. Practices ancient rites and the lore of alchemy (Chance of sanity gain when using mushrooms)"
"evt-village-recruit-shaman-action","$name the shaman"
"base-sanity","Morale"
"help-sanity","The motivation and satisfaction level of your raiding party. Drop to zero and more and more catastrophic events will begin to occur."
"base-standing","Dominance"
"help-standing","How subservient the Humans of this region are to your authority. Allow it to get too low and they may get rebellious."
"pl-native-starting-scout-title","Imperial scout"
"world-adjective","[Client State|Imperial Province|City State|Imperial Enclave|Client Kingdom|Tributary Kingdom|Vassal State|Vassal Kingdom|Magnificent City|Grand City|Grand Colony|Rich Colony|Grand Province|Rich Province|Military Enclave|Merchant Enclave|Science Enclave|Shaman Cabal|Hunting Grounds] of [Praetor|Consul|Proconsul|Governor|General|Warlord|Warmaster|Autarch|Exarch|Master|Hierophant|Sage|Minister|Legate|Overlord|Overseer|Regent|Tetrarch|Triarch|Pentarch] [Appius|Aulus|Caeso|Caligula|Caracalla|Commodus|Decimus|Domitianus|Elagabalus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Macharius|Mamercus|Manius|Marcus|Marius|Mettius|Minatius|Nero|Nerva|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Pompeius|Postumus|Publius|Pullo|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Sulla|Tiberius|Titus|Tullius|Tullus|Vibius|Volesus|Vopiscus|Vorenus]"
"gol-goldenTemple-arctic","A Golden City can be found in this region."
"gol-goldenTemple-buried","Contains a Golden City disguised by a shamanistic illusion."
"gol-goldenTemple-moonStone","A Golden City can be found in this region."
"empty-name",""
