"fxt-village-human-name","Villaggio Umano"
"pk-whiskyIncrease-3-title","Fanatico della Grappa di Banana 3 "
"pk-whiskyIncrease-4-title","Fanatico della Grappa di Banana 4 "
"bonus-whisky","Lucidità della Grappa di Banana"
"pl-native-starting-shaman-title","Sciamano di Corte"
"pl-native-starting-shaman","Uno degli stretti consiglieri dell'imperatore Scimmia. Pratica antichi riti e la tradizione dell'alchimia (possibilità di ottenere sanità mentale quando si usano i funghi)"
"evt-village-recruit-shaman-action","$name lo sciamano"
"base-sanity","Morale"
"help-sanity","La motivazione e il livello di soddisfazione del tuo gruppo d'incursione. Scende a zero e inizieranno a verificarsi eventi sempre più catastrofici.
"
"base-standing","Dominio
"
"help-standing","Quanto sono sottomessi gli Umani di questa regione alla tua autorità. Permettetele di abbassarsi troppo e loro potrebbero diventare ribelli.
"
"pl-native-starting-scout-title","Esploratore Imperiale"
"world-adjective","[Stato cliente|Provincia imperiale|Città Stato|Enclave Imperiale| Regno del Cliente|Regno Tributario|Stato Vassallo|Regno Vassallo|Città Magnifica|Grande Città|Grande Colonia|Colonia ricca|Grande Provincia|Provincia Ricca|Enclave militare|Enclave Mercantile|Enclave scientifica|Setta dello sciamano|Terreni da Caccia] del [Pretore|Console|Proconsole|Governatore|Generale|Signore della Guerra|Maestro della Guerra|Autarca|Esarca|Maestro|Sommo Sacerdote|Saggio|Ministro|Rappresentante|Signore Supremo| Supervisore|Reggente|Tetrarca|Triarca|Pentarca]
[Appius|Aulus|Caeso|Caligula|Caracalla|Commodus|Decimus|Domitianus|Elagabalus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Macharius|Mamercus|Manius|Marcus|Marius|Mettius|Minatius|Nero|Nerva|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Pompeius|Postumus|Publius|Pullo|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Sulla|Tiberius|Titus|Tullius|Tullus|Vibius|Volesus|Vopiscus|Vorenus]
"
"gol-goldenTemple-arctic","Una Città d'Oro può essere trovata in questa regione.

"
"gol-goldenTemple-buried","Contiene una Città d'Oro occultata da un'illusione sciamanica.
"
"gol-goldenTemple-moonStone","Una Città d'oro può essere trovata in questa regione.
"
"empty-name",""
"evt-village-enter-neutral","[Gli abitanti del villaggio ci osservarono con cautela mentre il nostro gruppo arrivava al loro insediamento.|Quando arrivammo, il villaggio vibrava di attività, ma si fermò non appena gli Umani avvistarono il nostro gruppo.] [Ci avvicinammo apertamente a loro e ci fermammo all'ingresso del villaggio|Siamo rimasti all'ingresso del villaggio e abbiamo considerato le nostre possibilità con queste persone]."
"evt-ship-arrival","[Stavo finendo i miei preparativi mattutini come 
|Ero profondamente assorto nei miei studi su quest'area come|Questa mattina presto|Il viaggio attraverso l'oceano ha portato molti avvistamenti meravigliosi di vita marina prima|I miei pensieri erano focalizzati sulla prossima incursione fino a|Dopo un viaggio inaspettatamente tranquillo| Non oso raccontare le prove e le tribolazioni del viaggio, ma fortunatamente|Dopo settimane di viaggi|Dopo troppi giorni salati in mare|Dopo essere a malapena sopravvissuto ad uno dei temporali più mostruosi che abbia mai visto su una nave|I mari aperti su cui navigare erano gloriosi ed fui un po' triste quando|Dopo settimane con cibo cattivo e senza banane|Proprio come pensavo, non saremmo mai riusciti a trovare un passaggio attraverso queste acque|Nella fitta nebbia di un mattino piovoso] [abbiamo raggiunto le terre del sovrano locale|abbiamo finalmente raggiunto la riva della nostra area di incursione|siamo arrivati alla nostra area di incursione|Una linea costiera si elevò nella nebbia mattutina]. [La terra era aperta davanti a noi, vasta e selvaggia|Il paesaggio straniero ci fece cenno di esplorare|Ero curioso di scoprire che tipo di pericoli ci stavano aspettando qui|Eravamo arrivati, ed era tempo di andare avanti|Sapevo che questo posto conteneva la chiave per la mia avanzata in tribunale|Sapevo che avevo bisogno di trovare e impressionare il sovrano locale|Sapevo che avevo bisogno di trovare la Città d'Oro].
"
"evt-village-enter-forsaken","[Il villaggio era deserto.|Uno spettacolo agghiacciante: era come se gli abitanti di questo villaggio non avessero mai vissuto qui. Non c'era un uomo, una donna o un bambino in giro.|Il villaggio era completamente abbandonato.] [Era ovvio che la gente se ne fosse andata di corsa. | Sembrava un posto dimenticato da tempo, e presto sarebbe diventato indistinguibile dal paesaggio circostante.] Ho cercato ma non ho trovato nulla di utile.

"
"evt-postNarrative-extra-1","La tensione delle $his incursioni aveva lasciato cicatrici sul $his [corpo|mente|anima] e $his famiglia aveva attestato che $he era  ormai un'ombra della persona che conoscevano una volta.
"
"evt-postNarrative-extra-2","
$he usò $his ricchezza accumulata per impressionare la nobiltà e  le Scimmie comuni, fecero lo stesso organizzando uno dei più grandi festival con feste e giochi che l'Impero abbia mai visto.
"
"evt-postNarrative-extra-3","Sebbene nella società funzioni in modo rudimentale, $he trovava impossibile creare nuove amicizie, tanto meno ottenere alleati sociali e politici.

"
"evt-postNarrative-extra-4","$his incursioni avevano dato $him una prospettiva inestimabile sulla fragilità della vita, e così $he ha fatto uno sforzo ogni singolo giorno per [migliorare la sua posizione|farsi un nome per se stesso | guadagnare vantaggio sui nobili dell'Impero|accumulare ricchezza|conquistare nuovi alleati|conquistare i favori della Corte Imperiale].
"
"evt-postNarrative-extra-5","$he ottenne notorietà della zona per aver costruito un vasto habitat per i vari strani animali che $he aveva [ottenuto tramite circostanze misteriose|riportò a casa dopo $his ultime incursioni]."
"evt-postNarrative-extra-alcoholic","$He[Si è sempre assicurato di portare una bottiglia di Grappa di Banana con $him ovunque $he andava|sentiva che la Grappa di Banana permetteva $him di  affrontare il trauma dell'essere mediocre|credeva che la Grappa di Banana fosse necessaria per essere veramente in grado di esprimere se stesso]."
"evt-postNarrative-extra-animalName","Un habitat umano recentemente scoperto è stato denominato in $his onore."
"evt-postNarrative-extra-bipolar","Durante la $his vita $he ha subito settimane e mesi di fasi maniacali in cui $he si sarebbe esibito [energia incredibile, seguita da periodi ugualmente lunghi di depressione debilitante|variazioni estreme dell'umore].
"
"evt-postNarrative-extra-cookCanibal","$his specialità era un piatto [fruttato|misto di funghi|carne speziata|strana carne]. La gente era venuta da tutte le parti dell'Impero per mangiarlo eppure nessuno aveva ancora scoperto gli ingredienti segreti."
"evt-postNarrative-extra-cookPyromaniac","purtroppo il posto è andato a fuoco in circostanze sospette. $name non ha mai recuperato [finanziariamente|dal punto di vista della reputazione|emotivamente] né mentalmente da quella perdita."
"evt-postNarrative-extra-cookSoup","$his specialità alquanto famosa, era una zuppa esotica che $he sosteneva di aver preparato con l'aiuto dei più famosi chef delle Città Dorate.

"
"evt-postNarrative-extra-firstChildName","$he Chiamò $his primo figlio dopo che il [leader delle incursioni che determinò $his vita| sovrano di una delle Città Dorate che $he incontrò durante $his viaggi|nome della nave che portò $him a casa].


"
"evt-postNarrative-extra-kleptomaniacPoor","$He è stato esiliato dalla corte dopo che $he [ha tentato di recuperare i reperti che le nostre incursioni| ha tentato di rubare alcuni dei prigionieri Umani che $his gruppo di razzie | ha tentato di rubare alcuni dei reperti che il suo gruppo di razzie] ha riportato tutto indietro.
"
"evt-postNarrative-extra-kleptomaniacRich","$He Viveva nel lusso di un certo [malsano | famigerato | pomposo] livello, sebbene la fonte esatta delle $his ricchezze non era stata mai esattamente rivelata.
"
"evt-postNarrative-extra-nativeFashion","$he Non ha smesso di indossare $his abiti eccentrici e ha persino ispirato un [nuovo stile di calzature | nuovo diverso copricapo| nuovo marchio di abbigliamento da incursione | esplosione di moda] durante una particolare [estate | inverno | stagione].
"
"evt-postNarrative-extra-noLoyalty","Più tardi $he divenne un forte critico delle $his spedizioni di razzie e scrisse [molti |un|un po'] [diffuso pesantemente|abbastanza sconosciuto] [articoli|libri] riguardo alla possibilità, che forse gli Umani erano più che solo patetici, a malapena-animali senzienti. È stato pesantemente criticato per le sue opinioni eretiche.



"
"evt-postNarrative-extra-racistChange",""
"evt-postNarrative-extra-royalName-1","[$He fu formalmente riconosciuto come un nobile dalla Corte Imperiale e vestì $his il suo nuovo titolo con grande orgoglio | $He Declinò un titolo ufficiale dalla Corte Imperiale]."
"evt-postNarrative-extra-royalName-2","$He era afflitto da [implacabili | infiniti] incubi sulle [orribili | inspiegabili | oscure | cattive] cose che $he aveva fatto.
"
"evt-postNarrative-extra-royalName-3","$he Non ha mai detto un'altra parola su cosa $He avesse fatto durante $his viaggi."
"evt-postNarrative-extra-royalName","Un/a reale [nave| vascello|ponte|strada|Habitat umano] fu chiamato dopo $him."
"evt-postNarrative-extra-soldierLife","$he Ha ricevuto una medaglia militare per aver [salvato la vita di un compagno Scimmia ignorando il pericolo per la $his vita|catturato un numero incredibilmente alto di Umani|protetto un villaggio Umano ribelle da solo|marciato per tre giorni di fila senza dormire per consegnare un pezzo importante di intelligenza].

"
"evt-postNarrative-extra","$He rimase in contatto con la maggior parte degli altri sopravvissuti e comunicava mensilmente fino alla $his morte anni dopo. Sono rimasti alleati nel gioco del progresso sociale."
"evt-postNarrative-extraCampaign","$name venne restituito a [la Capitale Imperiale|il cuore dell'Impero|le colline ondulate delle terre del cuore dell'Impero|le pacifiche vallate del cuore dell'Impero|le montagne mozzafiato delle terre centrali dell'Impero|la lussureggiante costa smeraldo delle terre centrali dell'Impero|il luogo $he chiamava casa|$his amati|casa|$his città natale|$his famiglia] in trionfo. La statua rendeva $him davvero giustizia, eppure $he non ancora era venuto a riposare. Vividi incubi di una terra lontana tormentavano $him ogni notte. $He non sapeva come, ma era come se una nuova consapevolezza si stesse gradualmente formando nella $his coscienza. In qualche modo $he sapeva che $he avrebbe dovuto salpare ancora una volta, e sarebbe stato $his ultimo viaggio. Questa volta $he non avrebbe cercato la fama, ma qualcosa di molto più grande ...
"
"evt-postNarrative-lateLife-alcoholicDeath","$He [morì prematuramente dopo molti anni di bevute pesanti|fu ucciso in una rissa tra ubriachi|fu assassinato dopo una rissa tra ubriachi contro l'Imperatore delle Scimmie | fu ucciso da un amico dopo una discussione tra ubriachi|morì di qualche sconosciuta malattia legata alla Grappa di Banana dopo aver passato l'intera giornata a bere|affogato in mare alla luce dell'alba di una fredda giornata autunnale|ha vissuto fino ad una matura vecchiaia, nonostante $his sostanzioso bere].
"
"evt-postNarrative-lateLife-familyDeath","$He [morì tra le braccia dei $his fedeli servitori |esalò $his ultimo respiro circondato dalla $his numerosa famiglia e dagli alleati].

"
"evt-postNarrative-lateLife-genericDeath","$He visse una lunga [felice | umile | tranquilla] vita e morì alla presenza [della $his famiglia | della $his moglie calcolatrice | dei $his nipoti ingrati | di uno sciamano di corte | del $his fedele animale domestico].
"
"evt-postNarrative-lateLife-lepidopterophobiaDeath","Anche attraverso tutte le avventure $he non ha mai ceduto alla sua paura per le [farfalle | grandi falene], [$his vita da allora è stata interrotta da | $he è morto in] un tragico incidente durante [caccia | escursioni | saccheggi]. $he era così inibito dalla fobia, che [divenne confuso | perse il controllo] e si gettò da una scogliera.
"
"evt-postNarrative-lateLife-missionaryDeath","$He visse una [umile|tranquilla|modesta|semplice] vita e morì [avendo servito l'Imperatore Scimmia|nel culto dell'imperatore Scimmia|in presenza dei $his alleati].
"
"evt-postNarrative-lateLife-nativeDeath","$He [morì di Malaria|morí per uno sfortunato attacco da parte di un elefante|durante un assalto da parte del bestiame| è stato sfortunatamente incornato da un maiale selvatico| morì per essere stato dilaniato da una tigre mentre prendeva l'acqua dallo stagno morì pacificamente circondato da $his alleati].
"
"evt-postNarrative-lateLife-paranoidDeath","[$He aveva trascorso gli ultimi anni della $his vita in prigione dopo aver ucciso un esattore per presunta estorsione|$his ubicazione nel corso degli ultimi anni è rimasta sconosciuta, dovendo scomparire una sera|L'ultima persona che ha visto $him ha descritto $him come un nudista che correva in una strada abbaiando come un Umano|$name ha trascorso gli ultimi anni della $his vita in un sanatorio, a causa di aver aggredito $his signore locale sotto l'accusa di venerare un culto tentacolare|Si diffusero i pettegolezzi della $his caduta nella pazzia|I pettegolezzi suggerivano che $he divenne un recluso scrivano ossessionato da certe Divinità immemorabili]."
"evt-postNarrative-lateLife-seventhWorldDeath","Durante $his ultima vita, $he è diventato ossessionato da [ricorrenti|ossessionanti] [sogni| pensieri|nozioni|visioni|incubi] su una [dimenticata|rimanente|nascosta] [Città d'Oro di antica origine|settima spedizione]. [$he È scomparso senza lasciare traccia |$he Non è stato più visto o sentito di nuovo]."
"evt-postNarrative-lateLife-soldierDeath","$He morì in una guerra in cui [la sua squadra fu decimata per disobbedienza | $he fece parte di numerose vittorie prima di essere catturato e giustiziato da un rivale signore della guerra | $he sacrificò la propria vita per il bene dell'Impero | $he si era opposto $his ordini, e fu conseguentemente pugnalato a morte da tutta la sua squadra |$he aveva avanzato incautamente, quasi incline al suicidio].
"
"evt-postNarrative-middleLife-1","Dopo essere ritornato, $name [viaggiò attraverso le province Imperiali e i regni sottoposti | visitò molte delle proprietà dell'Impero] [parlando | parlando pubblicamente | dando conferenze] riguardo a quelle famose incursioni.
"
"evt-postNarrative-middleLife-2","$name tornò a $his casa e visse una vita isolata. Dopo alcuni anni $he ha rilasciato $his memorie, che [però non hanno ottenuto molta attenzione da parte dell'opinione pubblica|non sono riuscite a catturare l'immaginazione pubblica| sono diventate di grande successo e permisero $him di vivere una vita finanziariamente agiata| diventarono immediatamente di successo e hanno portato $him sulla bocca della corte] 
"
"evt-postNarrative-middleLife-3","$name rimase nelle terre del cuore dell'Impero e mai più tornò alla sua vecchia casa.
"
"evt-postNarrative-middleLife-4","$name [tornò alla $his terra natia e non mise di nuovo piede nelle terre del cuore dell'Impero | aveva sviluppato una passione per entrambe le culture e viaggiò più volte nella $his vita tra la gloriosa Capitale Imperiale e $his umile patria]."
"evt-postNarrative-middleLife-5","$name forgiò [un ruolo|una carriera] nei ranghi militari.

"
"evt-postNarrative-middleLife-6","$name ritornò alla Capitale Imperiale e aprì [un piccolo | un grazioso| un umile | un esclusivo] [ristorante | mensa dei poveri | stabilimento alimentare], che $he ha condotto per molti anni.

"
"evt-postNarrative-middleLife-7",""
"evt-postNarrative-middleLife","$name ritornò a casa [e iniziò a lavorare alla $his vecchia professione di nuovo | ma la condizione fisica ha proibito $him di riprendere mai una professione regolare di nuovo | e ha finito creando una serie di testi didattici riguardo all'Arte dell'incursione""| e visse con il denaro di una ricca consorte che $he sposò poco dopo | e divenne il sindaco della $his città | e divenne consigliere presso la Corte Imperiale | e aprì una piccola biblioteca cercando di diffondere più conoscenza riguardo al mondo | e dopo un po' di fama iniziale svanì nelle ombre della storia]. ""

"
"evt-postNarrative-special-1","$name ritornò [alla Capitale Imperiale | al cuore dell'Impero | alle colline ondulate delle terre del cuore dell'Impero | alle pacifiche vallate del cuore dell'Impero | alle montagne mozzafiato delle terre centrali dell'Impero | alla lussureggiante costa smeraldo delle terre centrali dell'Impero | al luogo che $he chiamò casa | dai $his cari |a casa | alla $his città natale | dalla $his famiglia] in trionfo. $He visse una [mediocre | senza eventi | insoddisfacente] vita, e fino al $his giorno di morte $he non avrebbe dimenticato come $he aveva fallito la missione finale per diventare il Prescelto dell'Imperatore Scimmia.
"
"evt-postNarrative-special-2","$name ritornò [alla Capitale Imperiale | al cuore dell'Impero | alle colline ondulate delle terre del cuore dell'Impero | alle pacifiche vallate del cuore dell'Impero | alle montagne mozzafiato delle terre centrali dell'Impero | alla lussureggiante costa smeraldo delle terre centrali dell'Impero | al luogo che $he chiamò casa | dai $his cari |a casa | alla $his città natale | dalla $his famiglia] in trionfo. $He visse per molti anni. Alcuni furono buoni, altri furono cattivi, ma non fecero risplendere mai la $his stella tanto brillantemente come quando &he navigò intorno al mondo alla ricerca della gloria. $He era così vicino a raggiungere la fama eterna. Fino alla fine $he sarebbe stato ricordato di fallire il suo obiettivo finale."
"evt-postNarrative-special","$name ritornò [alla Capitale Imperiale | al cuore dell'Impero | alle colline ondulate delle terre del cuore dell'Impero | alle pacifiche vallate del cuore dell'Impero | alle montagne mozzafiato delle terre centrali dell'Impero | alla lussureggiante costa smeraldo delle terre centrali dell'Impero | al luogo che $he chiamò casa | dai $his cari |a casa | alla $his città natale | dalla $his famiglia] in trionfo. [Dopo che | Una volta vhe] [una statua fu modellata a $his somiglianza, $he | $he si era assicurato $his eredità con una splendida statua, $he] si è goduto una vita [lunga | gloriosa | di successo] in corte come la mano destra dell'Imperatore Scimmia stesso, nella consapevolezza che la storia [avrebbe ricordato | mantenuto | considerato] $him [nel più alto ordine | come uno dei grandi | come un primo esempio di un eroe | come un vero eroe | come l'ultimo incursore | senza misura | come il meglio che l'Impero aveva da offrire | come il volto della Corte Imperiale per generazioni | come il più grande | come qualcuno da ammirare | come ispirazione per tutte le altre Scimmie].
"
"attack-loki-name-1","Raggio Stabile"
"attack-loki-name-2","Raggio Difensivo"
"attack-loki-name","Raggio Alternato"
"np-malePraenomen","[Appius|Aulus|Caeso|Decimus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Mamercus|Manius|Marcus|Mettius|Minatius|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Postumus|Publius|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Tiberius|Titus|Tullus|Vibius|Volesus|Vopiscus]"
"np-femalePraenomen","[Appia|Aula|Caesa|Decima|Fausta|Gaia|Gnaea|Heria|Hosta|Lucia|Mamerca|Mania|Marcia|Mettia|Mino|Nona|Noviua|Numeria|Postuma|Publia|Quinta|Salvia|Septima|Sertor|Servia|Sexta|Spuria|Statia|Tiberia|Titia|Tulla|Vibius|Volusa|Vopisca]"
"np-maleNomen","[Aelius|Aemilius|Allidius|Alius|Allius|Ampius|Anicius|Annaeus|Annius|Antonius|Arellius|Arius|Atanius|Attiolenus|Audius|Aufidius|Aurelius|Avilius|Babullius|Bombius|Braundutius|Caecilius|Caelius|Caesonius|Calpurnius|Caltius|Calvius|Castricius|Cerrinius|Cincius|Cispius|Claudius|Clodius|Cluvius|Cocceius|Cottius|Cornelius|Cornius|Cossinius|Cossutius|Crassicius|Crepereius|Critonius|Decumius|Didius|Diobellius|Domitius|Egnatius|Erucius|Fabius|Fabricius|Felsonius|Flaminius|Flavius|Fulvius|Furius|Gerillanus|Gerraeus|Gessius|Granius|Heius|Helvius|Horarius|Hordionius|Hostilius|Iulius|Laberius|Labienus|Laelius|Laronius|Licinius|Livius|Loisius|Lollius|Lucceius|Lucretius|Luxius|Maecius|Magulnius|Mamilius|Marcius|Marius|Memmius|Mescinius|Messius|Mevius|Mindius|Mundicius|Naevius|Nerius|Nimmius|Nonnius|Novius|Numitorius|Nummius|Numonius|Obellius|Octavius|Ofellius|Olius|Opellius|Oppius|Orbius|Orceius|Otacilius|Paconius|Pactumeius|Pediasius|Pedius|Petronius|Pettius|Pius|Plaitorius|Plotius|Pompeius|Pompilius|Pomponius|Popilius|Popillius|Porcius|Pumidius|Quinctius|Raecius|Rasennius|Rutilius|Sabinius|Samiarius|Satricanius|Saufeius|Seius|Sempronius|Septimius|Serpoleius|Servilius|Sestius|Sextilius|Spedius|Staius|Stenius|Stertinius|Stlaccius|Sulfius|Sulpicius|Tarquinius|Titinius|Trebellius|Tuccius|Tullius|Turpillius|Tuscenius|Tutorius|Ulpius|Valerius|Varius|Venoleius|Veratius|Verrinius|Verius|Veturius|Veveius|Vibius|Vicirius|Vipsanius|Vinicius|Viseius|Vitellius|Vorenus|Umbricius|Volusius]"
"np-femaleNomen","[Aelia|Aemilia|Allidia|Alia|Allia|Ampia|Anicia|Annaea|Annia|Antonia|Arellia|Aria|Atania|Attiolena|Audia|Aufidia|Aurelia|Avilia|Babullia|Bombia|Braundutia|Caecilia|Caelia|Caesonia|Calpurnia|Caltia|Calvia|Castricia|Cerrinia|Cincia|Cispia|Claudia|Clodia|Cluvia|Cocceia|Cottia|Cornelia|Cornia|Cossinia|Cossutia|Crassicia|Crepereia|Critonia|Decumia|Didia|Diobellia|Domitia|Egnatia|Erucia|Fabia|Fabricia|Felsonia|Flaminia|Flavia|Fulvia|Furia|Gerillana|Gerraea|Gessia|Grania|Heia|Helvia|Horaria|Hordionia|Hostilia|Iulia|Laberia|Labiena|Laelia|Laronia|Licinia|Livia|Loisia|Lollia|Lucceia|Lucretia|Luxia|Maecia|Magulnia|Mamilia|Marcia|Maria|Memmia|Mescinia|Messia|Mevia|Mindia|Mundicia|Naevia|Neria|Nimmia|Nonnia|Novia|Numitoria|Nummia|Numonia|Obellia|Octavia|Ofellia|Olia|Opellia|Oppia|Orbia|Orceia|Otacilia|Paconia|Pactumeia|Pediasia|Pedia|Petronia|Pettia|Pia|Plaitoria|Plotia|Pompeia|Pompilia|Pomponia|Popilia|Popillia|Porcia|Pumidia|Quinctia|Raecia|Rasennia|Rutilia|Sabinia|Salvia|Samiaria|Satricania|Saufeia|Seia|Sempronia|Septimia|Serpoleia|Servilia|Sestia|Sextilia|Spedia|Staia|Stenia|Stertinia|Stlaccia|Sulfia|Sulpicia|Tarquinia|Titinia|Trebellia|Tuccia|Tullia|Turpillia|Tuscenia|Tutoria|Ulpia|Valeria|Varia|Venoleia|Veratia|Verrinia|Veria|Veturia|Veveia|Vibia|Viciria|Vinicia|Vipsania|Viseia|Vitellia|Vorena|Volusia|Umbricia]"
"np-maleCognomen","[Abito|Adjutor|Aemilianus|Adventus|Agrippa|Alexander|Aloysius|Alypius|Amandus|Ambrosius|Amphion|Antonius|Anatolius|Andronicus|Angelus|Aquila|Arcadius|Arvina|Asina|Augustus|Aurelianus|Aurelius|Auspex|Avitus|Balduinus|Bassus|Belenus|Belisarius|Bellator|Bellus|Bibulus|Brutus|Caelestius|Candidus|Caligula|Carinus|Carus|Castus|Celer|Cicero|Cinna|Clemens|Commodus|Crassus|Crescens|Crispus|Datus|Dannicus|Decentius|Decius|Diocletianus|Donatus|Domitianus|Draco|Drusus|Durus|Emeritus|Faustus|Felix|Festus|Firmus|Fortunatus|Fronto|Fuscus|Glaucia|Gracchus|Hadrianus|Honoratus|Honorius|Ianaurius|Ingenuus|Iovita|Iulianus|Iustus|Lepidus|Longinus|Magnus|Marcellinus|Marcellus|Marcianus|Martialis|Maximus|Nerva|Numerianus|Optatus|Primus|Priscus|Probus|Proculus|Pullo|Quintillus|Rogatianus|Rogatus|Rufinus|Rufus|Sabinus|Saturninus|Scipio|Secundus|Seianus|Severus|Silvanus|Sulla|Superbus|Tacitus|Tertius|Traianus|Urbanus|Valens|Valentinus|Valerianus|Verecundus|Verus|Vespasianus|Victor|Victorinus|Vitalis|Zeno|Zosimus]
 
Context | Request Context
"
"np-femaleCognomen","[Aemiliana|Agrippa|Agrippina|Adventa|Alexandra|Aloysia|Alypia|Amanda|Ambrosia|Amphia|Anatolia|Andronica|Angela|Antonina|Aquila|Arcadia|Augusta|Aureliana|Aurelia|Avita|Balduina|Bassa|Belena|Belisaria|Bella|Bibula|Bruta|Caelestia|Candida|Carina|Cara|Casta|Commoda|Crassa|Crispa|Dannica|Data|Decentia|Decia|Diocletiana|Domitiana|Donata|Drusa|Dura|Emerita|Fausta|Festa|Firma|Fortunata|Fusca|Glaucia|Graccha|Hadriana|Honorata|Honoria|Ianauria|Ingenua|Iovita|Iuliana|Iusta|Lepida|Longina|Magna|Marcellina|Marcella|Marciana|Maxima|Numeriana|Optata|Quintilla|Paulla|Prima|Prisca|Proba|Procula|Rogatiana|Rogata|Rufina|Rufa|Sabina|Saturnina|Secunda|Seiana|Severa|Silvana|Superba|Tacita|Tertia|Traiana|Urbana|Valentina|Valeriana|Verecunda|Vera|Vespasiana|Victoria|Victorina|Zena|Zosima]"
"np-romanTitles","[Pretore | Console| Proconsole| Governatore | Generale | Signore della Guerra| Maestro della Guerra| Autarca | Esarca | Gran Visir| Grande Ierofante | Grande Sciamano]
"
