"fxt-village-human-name","Vila Humana"
"bonus-whisky","Sanidade da Aguardente de Banana"
"pl-native-starting-shaman-title","Xamã da Corte"
"pl-native-starting-shaman","Um dos conselheiros próximos do Imperador Primata. Pratica ritos antigos e a ciência da alquimia (Chance de ganho de sanidade ao usar cogumelos)"
"evt-village-recruit-shaman-action","$name o xamã"
"base-sanity","Moral"
"help-sanity","O nível de motivação e satisfação de seu grupo de invasão. Se chegar a zero, mais e mais eventos catastróficos começarão a ocorrer."
"base-standing","Dominância"
"help-standing","O quanto servis são os humanos desta região perante sua autoridade. Deixe-a ficar demasiada baixa, e eles podem ficar rebeldes."
"pl-native-starting-scout-title","Batedor Imperial"
"world-adjective","[Estado Cliente|Província Imperial|Cidade-Estado|Enclave Imperial|Reino Cliente|Reino Tributário|Estado Vassalo|Reino Vassalo|Cidade Magnífica|Cidade Grandiosa|Colônia Grandiosa|Colônia Rica|Província Grandiosa|Província Rica|Enclave Militar|Enclave Mercantil|Enclave Ciêntifica|Cabala Xamã|Terras de Caça] do [Pretor|Cônsul|Procônsul|Governador|General|Senhora da Guerra|Mestre de Guerra|Autarca|Exarca|Mestre|Hierofante|Sábio|Ministro|Delegado|Suserano|Capataz|Regente|Tetrarca|Triarca|Pentarca][Appius|Aulus|Caeso|Caligula|Caracalla|Commodus|Decimus|Domitianus|Elagabalus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Macharius|Mamercus|Manius|Marcus|Marius|Mettius|Minatius|Nero|Nerva|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Pompeius|Postumus|Publius|Pullo|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Sulla|Tiberius|Titus|Tullius|Tullus|Vibius|Volesus|Vopiscus|Vorenus]"
"gol-goldenTemple-arctic","Uma Cidade Dourada pode ser encontrada nesta região."
"gol-goldenTemple-buried","Contém uma Cidade Dourada disfarçada por uma ilusão xamânica."
"gol-goldenTemple-moonStone","Uma Cidade Dourada pode ser encontrada nesta região."
"empty-name",""
"evt-village-enter-neutral","[Os moradores nos observaram com cautela conforme nosso grupo chegava em sua colônia.|Conforme chegamos, a aldeia estava movimentada com atividades, mas tudo parou assim que os Humanos avistaram o nosso grupo.] [Nos aproximamos deles abertamente e paramos na entrada da aldeia|Nós ficamos na entrada da aldeia e consideramos nossas opções com essas pessoas]."
"evt-ship-arrival","[Eu estava terminando meus preparativos matinais quando|Eu estava em profunda imersão nos estudos sobre esta área quando|Era de manhã cedo quando|A jornada através do oceano trouxe muitas visões maravilhosas da vida marinha quando
|Meus pensamentos estavam focados no próximo ataque quando|Depois de uma viagem inesperadamente calma|Não me atrevo a contar as provações e atribulações da viagem, mas felizmente|Depois de semanas de viagem|Depois de muitos dias salgados no mar|Depois de sobreviver a uma das mais monstruosas tempestades que eu já presenciei em um navio|Os mares abertos tinham sido gloriosos para navegar, e eu fiquei um pouco triste quando|Depois de semanas com comida desagradável e sem bananas|Justo quando eu pensava que nunca encontraríamos um caminho através destas águas|Na névoa espessa de uma manhã chuvosa] [nós chegamos às terras do governante local|nós finalmente chegamos à costa de nossa área de invasão|nós chegamos a nossa área de invasão|uma linha de costa elevou-se na neblina da manhã]. [A terra estava aberta à nossa frente, vasta e indomável|A paisagem estrangeira nos chamou para explorar|Eu estava curioso para descobrir que tipo de perigos estavam esperando por nós aqui|Nós tínhamos chegado, e era hora de sair|Eu sabia que este lugar tinha a chave do meu avanço na corte|Eu sabia que precisava encontrar e impressionar o governante local|Eu sabia que precisava encontrar a Cidade Dourada]."
"evt-village-enter-forsaken","[A aldeia estava vazia.|Uma visão arrepiante: Era como se os habitantes desta aldeia nunca tivessem vivido aqui. Não havia nenhum homem, mulher ou criança por perto.|A aldeia estava completamente abandonada.] [Era óbvio que as pessoas tinham saído às pressas.|Parecia um lugar há muito esquecido, e logo se tornaria indistinguível da paisagem circundante.] Eu procurei, mas não achei nada útil."
"evt-postNarrative-extra-1","A tensão de suas aventuras haviam deixado cicatrizes [em seu corpo|em sua mente|em sua alma] e sua família confirmou que $he agora era apenas uma sombra da pessoa que eles um dia conheceram."
"evt-postNarrative-extra-2","$He usou a sua riqueza acumulada para impressionar a nobreza e os Primatas comuns através da organização de um dos maiores festivais com banquetes e jogos, dos quais o Império jamais havia visto."
"evt-postNarrative-extra-3","Apesar de atuar na sociedade de forma rudimentar, $he achava impossível desenvolver novas amizades, e muito menos assegurar aliados sociais e políticos."
"evt-postNarrative-extra-4","Seus ataques haviam lhe dado uma perspectiva incalculável sobre a fragilidade da vida, e então $he se esforçou todos os dias para [melhorar seu status|construir uma reputação|ganhar vantagem com os nobres do Império|acumular riqueza|ganhar novos aliados|obter favores junto a Corte Imperial]."
"evt-postNarrative-extra-5","$He ganhou notoriedade por construir um grande habitat para os vários animais estranhos que $he [obteve em circunstâncias misteriosas|trouxe para casa após seu último ataque]."
"evt-postNarrative-extra-alcoholic","$He [sempre fazia questão de carregar consigo um frasco de aguardente de Banana onde quer que fosse|sentia que aguardente de Banana lhe permitia lidar com o trauma de ser medíocre|acreditava que aguardente de Banana era necessária para ser capaz de realmente se expressar]."
"evt-postNarrative-extra-animalName","Um recém-descoberto habitat Humano foi nomeado em sua honra."
"evt-postNarrative-extra-bipolar","Ao longo de sua vida $he experimentou semanas e meses de fases maníacas nas quais $he exibia [uma energia incrível, seguida por períodos igualmente longos de depressão debilitante|flutuações extremas de humor]."
"evt-postNarrative-extra-cookCanibal","Sua especialidade era [um prato com frutas|uma combinação de cogumelos|carne picante|um curioso prato com carnes]. As pessoas vieram de todas as partes do Império para comer e ainda assim ninguém descobriu os ingredientes secretos."
"evt-postNarrative-extra-cookPyromaniac","Infelizmente o local foi incendiado sob circunstâncias suspeitas. $name nunca se recuperou [financeiramente|reputacionalmente|emocionalmente] nem mentalmente dessa perda."
"evt-postNarrative-extra-cookSoup","Sua especialidade um tanto quanto famosa era uma sopa exótica que $he alegou ter inventado com a ajuda dos chefs mais famosos das Cidades Douradas."
"evt-postNarrative-extra-firstChildName","$He batizou seu primeiro filho com o nome do [líder dos ataques que moldaram sua vida|governante de uma das Cidades Douradas que $he encontrou durante suas viagens|navio no qual viajara para casa]."
"evt-postNarrative-extra-kleptomaniacPoor","$He foi {exilado|exilada} da corte depois que [tentou recuperar artefatos que nossas invasões haviam|tentou roubar alguns dos prisioneiros Humanos que seu grupo de invasão havia|tentou roubar alguns dos artefatos que seu grupo de ataque havia] trazido de volta."
"evt-postNarrative-extra-kleptomaniacRich","$He morava com [doentia|notória|pomposa] luxúria, embora a fonte exata de suas riquezas nunca fosse divulgada com exatidão."
"evt-postNarrative-extra-nativeFashion","$He não cessou o uso de suas roupas excêntricas e até inspirou [um novo estilo de calçado|um novo e distinto chapéu|uma nova marca de trajes de invasão|um boom na moda] durante [um verão|um inverno|uma estação] particular."
"evt-postNarrative-extra-noLoyalty","Mais tarde $he fez fortes críticas à suas expedições de invasão e escreveu [muitos|alguns] [artigos|livros] [fortemente difundidos|bastante desconhecido] sobre a possibilidade de que talvez os humanos fossem mais do que apenas animais patéticos, pouco sensíveis. Ele foi fortemente criticado por suas visões heréticas."
"evt-postNarrative-extra-racistChange",""
"evt-postNarrative-extra-royalName-1","[$He recebeu formalmente da Corte Imperial o status de nobre e usou o seu novo título com grande orgulho|$He recusou um título formal concedido pela Corte Imperial]."
"evt-postNarrative-extra-royalName-2","$He estava {atormentado|atormentada} por pesadelos [implacáveis|intermináveis] ​​sobre as coisas [horríveis|inexplicáveis|sombrias|malignas] que $he tinha feito."
"evt-postNarrative-extra-royalName-3","$He nunca voltou a mencionar o que tinha feito em suas viagens."
"evt-postNarrative-extra-royalName","[Uma nau|Uma embarcação|Uma ponte|Uma rua|uma habitação Humana] da realeza foi nomeada em sua homenagem."
"evt-postNarrative-extra-soldierLife","$He foi {premiado|premiada} com uma medalha militar por [salvar a vida de um companheiro Primata desprezando o perigo à sua própria vida|capturar um número incrivelmente alto de Humanos|defender por conta própria uma vila humana rebelde|marchar três dias seguidos sem dormir para entregar uma importante informação de inteligência]."
"evt-postNarrative-extra","$He ficou em contato com a maioria dos outros sobreviventes e se correspondiam mensalmente até sua morte anos depois. Eles permaneceram aliados no jogo do avanço social."
"evt-postNarrative-extraCampaign","$name retornou para [a Capital Imperial|o coração do Império|as colinas ondulantes do coração Imperial|os vales pacíficos do coração Imperial|as montanhas de tirar o fôlego do coração Imperial|a exuberante costa esmeralda das terras centrais do Império|o lugar que $he chamava de casa|seus entes queridos|casa|sua cidade natal|sua família] em triunfo. A estátua realmente lhe fez justiça mas, no entanto, $he não veio para descansar. Pesadelos vívidos de uma terra distante {o|a} atormentavam todas as noites. $He não sabia como, mas era como se um novo conhecimento estivesse gradualmente se formando em sua consciência. De alguma forma $he sabia que teria que zarpar mais uma vez, e seria sua última viagem. Desta vez, $he não estaria buscando fama, mas algo muito mais grandioso..."
"evt-postNarrative-lateLife-alcoholicDeath","$He [morreu prematuramente depois de muitos anos de bebedeira|morreu em uma briga de bêbados|perdeu a vida depois de um discurso bêbado contra o Imperador Primata|perdeu a vida devido a uma discussão de bebados com um amigo|morreu de alguma doença desconhecida relacionada a aguardente de Banana depois de passar o dia todo bebendo|afogou-se no mar na luz do amanhecer de um dia frio de Outono|viveu até uma velhice amadurecida, apesar de beber substancialmente]."
"evt-postNarrative-lateLife-familyDeath","$He [morreu nos braços de seus leais empregados|deu seu último suspiro cercado por sua grande família e aliados]."
"evt-postNarrative-lateLife-genericDeath","$He viveu uma longa vida [feliz|humilde|calma] e morreu na presença [de sua família|de seu cônjuge|de seus ingratos netos|de um xamã da corte|de seu fiel animal de estimação]."
"evt-postNarrative-lateLife-lepidopterophobiaDeath","Mesmo com todas as aventuras, $he nunca havia sucumbido ao medo de [borboletas|mariposas enormes], [sua vida tinha sido interrompida por|$he morreu em] um trágico acidente enquanto [caçava|caminhava em uma trilha|atacava]. $He estava tão {inibido|inibida} pela fobia, que ele se [confundiu|perdeu o controle] e caiu de um penhasco."
"evt-postNarrative-lateLife-missionaryDeath","$He viveu uma vida [humilde|tranquila|modesta|simples] e morreu [tendo servido o Imperador Primata|em adoração ao Imperador Primata|na presença de seus aliados]."
"evt-postNarrative-lateLife-nativeDeath","$He [morreu de Malaria|morreu de um infeliz ataque de Elefante|durante uma debandada de gado|foi dilacerado por um porco selvagem|morreu sendo atacado por um tigre enquanto pegava água do lago|morreu pacificamente ao lado de seus aliados]."
"evt-postNarrative-lateLife-paranoidDeath","[$He gastou os últimos anos de sua vida na prisão perpétua depois de assassinar um cobrador de impostos por suposta extorsão|O seu paradeiro nos últimos anos era desconhecido, tendo desaparecido certa noite|A última pessoa que disse ter visto $he, descreveu que estava correndo sem roupas por uma rua e latindo como um Humano|$name passou os últimos anos de sua vida em um sanatório, devido a agredir seu senhor local sob acusações de culto tentáculo|Um rumor espalhou sobre sua descida à loucura|Um rumor sugeriu que $he havia se entregado a reclusão, onde mantinha uma obsessão pela escrita de certas Deidades imemoriais]."
"evt-postNarrative-lateLife-seventhWorldDeath","Durante sua vida tardia, $he ficou {obcecado|obcecada} com [sonhos|pensamentos|idéias|visões|pesadelos] [recorrentes|assombrosos] sobre um [uma esquecida|uma remanescente|uma escondida] [Cidade Dourada de origem recente|sétima expedição]. [$He desapareceu sem deixar nenhum traço|Jamais se ouvir falar, nem se viu mais $he]."
"evt-postNarrative-lateLife-soldierDeath","$He morreu numa guerra onde [o seu grupo foi dizimado por desobediência|$he fez parte de numerosas vitórias antes de sua captura e execução por um senhor de guerra inimigo|$he sacrificou a sua vida pelo bem do Império|$he desafiou suas ordens, e consequentemente, sofreu até morrer com punhaladas dadas por todo o seu esquadrão |$he tinha avançado imprudentemente, quase de maneira suicida]."
"evt-postNarrative-middleLife-1","Após regressar, $name [viajou pelas províncias Imperiais e reinos clientes|visitou muitos dos territórios do Império] [falando|falando publicamente|dando palestras] sobre aqueles famosos ataques."
"evt-postNarrative-middleLife-2","$name voltou a sua casa e viveu uma vida isolada. Depois de alguns anos, $he publicou as suas memórias, as quais [não receberam muita atenção pública|não conseguiram cativar a imaginação do público|tornaram-se num grande êxito, permitindo-lhe viver uma vida financeiramente confortável|tornaram-se num êxito da noite para o dia o que fez $his o tema de conversa da corte]."
"evt-postNarrative-middleLife-3","$name permaneceu nas terras centrais do Império e nunca mais retornou para sua antiga casa."
"evt-postNarrative-middleLife-4","$name [voltou à sua terra natal e não voltou a meter os pés em terras Imperiais|havia desenvolvido uma paixão pelas duas culturas e viajou várias vezes na sua vida entre a gloriosa Capital Imperial e a sua humilde terra natal]."
"evt-postNarrative-middleLife-5","$name forjou [um papel|uma carreira] nas patentes militares."
"evt-postNarrative-middleLife-6","$name retornou à Capital Imperial e abriu [um pequeno|um diminuto|um humilde|um exclusivo] [restaurante|restaurante popular|estabelecimento alimentício], que $he dirigiu por muitos anos."
"evt-postNarrative-middleLife-7",""
"evt-postNarrative-middleLife","$name retornou para casa [e começou a trabalhar em sua velha profissão novamente|mas a tensão física lhe impediam de pegar uma profissão regular novamente|e acabou escrevendo uma série de textos instrucionais sobre a ""Arte de Invadir""|e vivia do dinheiro de um cônjuge rico ao qual casou-se logo após|e tomou a gerência de sua cidade|onde lhe foi concedido a assessoria da Corte Imperial|e abriu uma pequena biblioteca tentando espalhar mais conhecimento sobre o mundo|e depois de alguma fama inicial desapareceu nas sombras da história]."
"evt-postNarrative-special-1","$name retornou para [a Capital Imperial|o coração do Império|as colinas do coração Imperial|os vales pacíficos do coração imperial|as montanhas de tirar o fôlego nas regiões centrais do Império|a exuberante costa esmeralda no coração do império|o lugar que $he chamou de lar|seus entes queridos|casa|sua cidade natal|sua família] em triunfo. $He experimentou uma vida [medíocre|sem complicações|insatisfeita], e até o dia de sua morte $he não esqueceria como havia falhado na derradeira missão para se tornar o Escolhido do Imperador Primata."
"evt-postNarrative-special-2","$name retornou para [a Capital Imperial|o coração do Império|as colinas do coração Imperial|os vales pacíficos do coração imperial|as montanhas de tirar o fôlego nas regiões centrais do Império|a exuberante costa esmeralda no coração do império|o lugar que $he chamou de lar|seus entes queridos|casa|sua cidade natal|sua família] em triunfo. $He viveu por muitos anos. Alguns foram bons, outros foram ruins, mas nunca resplandeceram sua estrela tão brilhante quanto no dia que $he viajou pelo mundo em busca de glória. $He estava tão perto de alcançar a fama eterna. Até o final $he seria {lembrado|lembrada} por falhar em seu derradeiro objetivo."
"evt-postNarrative-special","$name retornou para [a Capital Imperial|o coração do Império|as colinas do coração Imperial|os vales pacíficos do coração imperial|as montanhas de tirar o fôlego nas regiões centrais do Império|a exuberante costa esmeralda no coração do império|o lugar que $he chamou de lar|seus entes queridos|casa|sua cidade natal|sua família] em triunfo. [Logo que|Uma vez que] [uma estátua foi modelada em sua semelhança, $he|$he garantiu seu legado com uma estátua esplêndida, $he] desfrutou de uma [longa|gloriosa|bem sucedida] vida na corte como a mão direita do próprio Imperador Primata, sabendo que a história lhe [lembraria|manteria|prezaria] [no mais alto grau|como um dos grandes|como um exemplo primordial de heroísmo|como exemplo de herói de verdade|como exemplo de invasor|além de qualquer medida|como o melhor que o Império tinha para oferecer|como o rosto da Corte Imperial por gerações|como o ápice da grandiosidade|como alguém a admirar|como uma inspiração para todos os outros Primatas]."
"attack-loki-name-1","Feixe Estável"
"attack-loki-name-2","Feixe Defensivo"
"attack-loki-name","Feixe Alternado"
"np-malePraenomen","[Appius|Aulus|Caeso|Decimus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Mamercus|Manius|Marcus|Mettius|Minatius|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Postumus|Publius|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Tiberius|Titus|Tullus|Vibius|Volesus|Vopiscus]"
"np-femalePraenomen","[Appia|Aula|Caesa|Decima|Fausta|Gaia|Gnaea|Heria|Hosta|Lucia|Mamerca|Mania|Marcia|Mettia|Mino|Nona|Noviua|Numeria|Postuma|Publia|Quinta|Salvia|Septima|Sertor|Servia|Sexta|Spuria|Statia|Tiberia|Titia|Tulla|Vibius|Volusa|Vopisca]"
"np-maleNomen","[Aelius|Aemilius|Allidius|Alius|Allius|Ampius|Anicius|Annaeus|Annius|Antonius|Arellius|Arius|Atanius|Attiolenus|Audius|Aufidius|Aurelius|Avilius|Babullius|Bombius|Braundutius|Caecilius|Caelius|Caesonius|Calpurnius|Caltius|Calvius|Castricius|Cerrinius|Cincius|Cispius|Claudius|Clodius|Cluvius|Cocceius|Cottius|Cornelius|Cornius|Cossinius|Cossutius|Crassicius|Crepereius|Critonius|Decumius|Didius|Diobellius|Domitius|Egnatius|Erucius|Fabius|Fabricius|Felsonius|Flaminius|Flavius|Fulvius|Furius|Gerillanus|Gerraeus|Gessius|Granius|Heius|Helvius|Horarius|Hordionius|Hostilius|Iulius|Laberius|Labienus|Laelius|Laronius|Licinius|Livius|Loisius|Lollius|Lucceius|Lucretius|Luxius|Maecius|Magulnius|Mamilius|Marcius|Marius|Memmius|Mescinius|Messius|Mevius|Mindius|Mundicius|Naevius|Nerius|Nimmius|Nonnius|Novius|Numitorius|Nummius|Numonius|Obellius|Octavius|Ofellius|Olius|Opellius|Oppius|Orbius|Orceius|Otacilius|Paconius|Pactumeius|Pediasius|Pedius|Petronius|Pettius|Pius|Plaitorius|Plotius|Pompeius|Pompilius|Pomponius|Popilius|Popillius|Porcius|Pumidius|Quinctius|Raecius|Rasennius|Rutilius|Sabinius|Samiarius|Satricanius|Saufeius|Seius|Sempronius|Septimius|Serpoleius|Servilius|Sestius|Sextilius|Spedius|Staius|Stenius|Stertinius|Stlaccius|Sulfius|Sulpicius|Tarquinius|Titinius|Trebellius|Tuccius|Tullius|Turpillius|Tuscenius|Tutorius|Ulpius|Valerius|Varius|Venoleius|Veratius|Verrinius|Verius|Veturius|Veveius|Vibius|Vicirius|Vipsanius|Vinicius|Viseius|Vitellius|Vorenus|Umbricius|Volusius]"
"np-femaleNomen","[Aelia|Aemilia|Allidia|Alia|Allia|Ampia|Anicia|Annaea|Annia|Antonia|Arellia|Aria|Atania|Attiolena|Audia|Aufidia|Aurelia|Avilia|Babullia|Bombia|Braundutia|Caecilia|Caelia|Caesonia|Calpurnia|Caltia|Calvia|Castricia|Cerrinia|Cincia|Cispia|Claudia|Clodia|Cluvia|Cocceia|Cottia|Cornelia|Cornia|Cossinia|Cossutia|Crassicia|Crepereia|Critonia|Decumia|Didia|Diobellia|Domitia|Egnatia|Erucia|Fabia|Fabricia|Felsonia|Flaminia|Flavia|Fulvia|Furia|Gerillana|Gerraea|Gessia|Grania|Heia|Helvia|Horaria|Hordionia|Hostilia|Iulia|Laberia|Labiena|Laelia|Laronia|Licinia|Livia|Loisia|Lollia|Lucceia|Lucretia|Luxia|Maecia|Magulnia|Mamilia|Marcia|Maria|Memmia|Mescinia|Messia|Mevia|Mindia|Mundicia|Naevia|Neria|Nimmia|Nonnia|Novia|Numitoria|Nummia|Numonia|Obellia|Octavia|Ofellia|Olia|Opellia|Oppia|Orbia|Orceia|Otacilia|Paconia|Pactumeia|Pediasia|Pedia|Petronia|Pettia|Pia|Plaitoria|Plotia|Pompeia|Pompilia|Pomponia|Popilia|Popillia|Porcia|Pumidia|Quinctia|Raecia|Rasennia|Rutilia|Sabinia|Salvia|Samiaria|Satricania|Saufeia|Seia|Sempronia|Septimia|Serpoleia|Servilia|Sestia|Sextilia|Spedia|Staia|Stenia|Stertinia|Stlaccia|Sulfia|Sulpicia|Tarquinia|Titinia|Trebellia|Tuccia|Tullia|Turpillia|Tuscenia|Tutoria|Ulpia|Valeria|Varia|Venoleia|Veratia|Verrinia|Veria|Veturia|Veveia|Vibia|Viciria|Vinicia|Vipsania|Viseia|Vitellia|Vorena|Volusia|Umbricia]"
"np-maleCognomen","[Abito|Adjutor|Aemilianus|Adventus|Agrippa|Alexander|Aloysius|Alypius|Amandus|Ambrosius|Amphion|Antonius|Anatolius|Andronicus|Angelus|Aquila|Arcadius|Arvina|Asina|Augustus|Aurelianus|Aurelius|Auspex|Avitus|Balduinus|Bassus|Belenus|Belisarius|Bellator|Bellus|Bibulus|Brutus|Caelestius|Candidus|Caligula|Carinus|Carus|Castus|Celer|Cicero|Cinna|Clemens|Commodus|Crassus|Crescens|Crispus|Datus|Dannicus|Decentius|Decius|Diocletianus|Donatus|Domitianus|Draco|Drusus|Durus|Emeritus|Faustus|Felix|Festus|Firmus|Fortunatus|Fronto|Fuscus|Glaucia|Gracchus|Hadrianus|Honoratus|Honorius|Ianaurius|Ingenuus|Iovita|Iulianus|Iustus|Lepidus|Longinus|Magnus|Marcellinus|Marcellus|Marcianus|Martialis|Maximus|Nerva|Numerianus|Optatus|Primus|Priscus|Probus|Proculus|Pullo|Quintillus|Rogatianus|Rogatus|Rufinus|Rufus|Sabinus|Saturninus|Scipio|Secundus|Seianus|Severus|Silvanus|Sulla|Superbus|Tacitus|Tertius|Traianus|Urbanus|Valens|Valentinus|Valerianus|Verecundus|Verus|Vespasianus|Victor|Victorinus|Vitalis|Zeno|Zosimus]"
"np-femaleCognomen","[Aemiliana|Agrippa|Agrippina|Adventa|Alexandra|Aloysia|Alypia|Amanda|Ambrosia|Amphia|Anatolia|Andronica|Angela|Antonina|Aquila|Arcadia|Augusta|Aureliana|Aurelia|Avita|Balduina|Bassa|Belena|Belisaria|Bella|Bibula|Bruta|Caelestia|Candida|Carina|Cara|Casta|Commoda|Crassa|Crispa|Dannica|Data|Decentia|Decia|Diocletiana|Domitiana|Donata|Drusa|Dura|Emerita|Fausta|Festa|Firma|Fortunata|Fusca|Glaucia|Graccha|Hadriana|Honorata|Honoria|Ianauria|Ingenua|Iovita|Iuliana|Iusta|Lepida|Longina|Magna|Marcellina|Marcella|Marciana|Maxima|Numeriana|Optata|Quintilla|Paulla|Prima|Prisca|Proba|Procula|Rogatiana|Rogata|Rufina|Rufa|Sabina|Saturnina|Secunda|Seiana|Severa|Silvana|Superba|Tacita|Tertia|Traiana|Urbana|Valentina|Valeriana|Verecunda|Vera|Vespasiana|Victoria|Victorina|Zena|Zosima]"
"np-romanTitles","[Pretor|Cônsul|Procônsul|Governador|General|Senhora da Guerra|Mestre de Guerra|Autarca|Exarca|Grande Vizir|Grande Hierofante|Grande Xamã]"
